Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",23y 211d,87 (38-2-47 44.83%),27 (0.31),←,
20,"Black, Simon",30y 72d,244 (145-3-96 60.04%),148 (0.61),←,
36,"Bradshaw, Daniel",30y 205d,213 (120-2-91 56.81%),468 (2.20),210 (117-2-91 56.19%),468 (2.23)
17,"Brennan, Jared",24y 321d,90 (44-2-44 50.00%),63 (0.70),←,
16,"Brown, Jonathan",27y 228d,172 (109-2-61 63.95%),378 (2.20),←,
1,"Clark, Mitch",21y 238d,34 (15-1-18 45.59%),21 (0.62),←,
5,"Harding, Scott",22y 360d,41 (22-2-17 56.10%),12 (0.29),←,
14,"Henderson, Lachie",19y 182d,12 (6-0-6 50.00%),3 (0.25),←,
33,"Hooper, Rhan",21y 156d,44 (21-1-22 48.86%),47 (1.07),←,
26,"Macdonald, Joel",24y 247d,70 (39-0-31 55.71%),6 (0.09),←,
9,"McGrath, Ashley",26y 25d,125 (69-1-55 55.60%),102 (0.82),←,
8,"Notting, Tim",30y 236d,202 (118-3-81 59.16%),135 (0.67),←,
31,"Polkinghorne, James",20y 144d,12 (7-0-5 58.33%),6 (0.50),←,
6,"Power, Luke",29y 157d,229 (134-2-93 58.95%),197 (0.86),←,
2,"Proud, Albert",20y 281d,17 (8-0-9 47.06%),2 (0.12),←,
10,"Rich, Daniel",19y 7d,12 (7-0-5 58.33%),6 (0.50),←,
35,"Rischitelli, Michael",23y 157d,77 (35-2-40 46.75%),33 (0.43),←,
29,"Roe, Jason",25y 93d,46 (20-1-25 44.57%),6 (0.13),←,
28,"Selwood, Troy",25y 44d,68 (30-1-37 44.85%),11 (0.16),←,
3,"Sheldon, Sam",20y 98d,7 (5-0-2 71.43%),,←,
11,"Sherman, Justin",22y 139d,85 (35-2-48 42.35%),61 (0.72),←,
32,"Stiller, Cheynee",23y 42d,56 (23-2-31 42.86%),14 (0.25),←,
Totals,Totals,24y 83d,1943 (1050-29-864 54.04%),1746 (0.90),,
C,"Voss, Michael",33y 342d,12 (7-0-5 58.33%),,←,
