North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Allison, Brett",24y 321d,96 (44-1-51 46.35%),95 (0.99),←,
11,"Archer, Glenn",20y 19d,11 (4-0-7 36.36%),3 (0.27),←,
12,"Blakey, John",26y 262d,138 (54-0-84 39.13%),39 (0.28),3 (2-0-1 66.67%),1 (0.33)
18,"Carey, Wayne",21y 320d,63 (30-0-33 47.62%),121 (1.92),←,
27,"Crocker, Darren",26y 17d,106 (47-1-58 44.81%),69 (0.65),←,
25,"Daniltchenko, Jason",17y 222d,1 (1-0-0 100.00%),,←,
6,"Fairley, Ian",28y 206d,144 (68-2-74 47.92%),143 (0.99),←,
26,"Ishchenko, Alex",28y 357d,91 (34-0-57 37.36%),30 (0.33),19 (8-0-11 42.11%),5 (0.26)
7,"Laidley, Dani",26y 16d,55 (31-1-23 57.27%),11 (0.20),3 (2-0-1 66.67%),
9,"Larkin, Matthew",28y 236d,162 (81-3-78 50.93%),142 (0.88),←,
35,"Longmire, John",22y 102d,93 (41-1-51 44.62%),299 (3.22),←,
4,"Martyn, Mick",24y 224d,97 (44-1-52 45.88%),10 (0.10),←,
8,"Pyman, Robert",21y 188d,1 (1-0-0 100.00%),,←,
22,"Roberts, Mark",27y 288d,93 (35-0-58 37.63%),33 (0.35),16 (9-0-7 56.25%),14 (0.88)
3,"Rock, Anthony",22y 195d,51 (25-0-26 49.02%),53 (1.04),←,
1,"Romero, Jose",21y 254d,61 (29-0-32 47.54%),77 (1.26),←,
2,"Schwass, Wayne",24y 136d,82 (36-0-46 43.90%),39 (0.48),←,
24,"Sholl, Craig",25y 103d,67 (33-0-34 49.25%),12 (0.18),←,
15,"Smith, Ross",28y 68d,154 (70-2-82 46.10%),33 (0.21),←,
10,"Stevens, Anthony",21y 284d,45 (21-0-24 46.67%),18 (0.40),←,
Totals,Totals,24y 173d,1611 (729-12-870 45.25%),1227 (0.76),,
C,"Pagan, Denis",45y 200d,3 (2-0-1 66.67%),,←,
