Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",25y 297d,104 (66-0-38 63.46%),153 (1.47),66 (48-0-18 72.73%),98 (1.48)
11,"Archer, Glenn",27y 120d,174 (115-0-59 66.09%),106 (0.61),←,
26,"Bell, Peter",24y 143d,120 (82-0-38 68.33%),115 (0.96),118 (82-0-36 69.49%),113 (0.96)
12,"Blakey, John",33y 364d,319 (174-0-145 54.55%),104 (0.33),184 (122-0-62 66.30%),66 (0.36)
22,"Burton, Matthew",30y 64d,88 (33-0-55 37.50%),40 (0.45),18 (11-0-7 61.11%),8 (0.44)
18,"Carey, Wayne",29y 56d,225 (143-0-82 63.56%),625 (2.78),←,
23,"Clayton, Shane",21y 272d,63 (35-0-28 55.56%),19 (0.30),45 (33-0-12 73.33%),18 (0.40)
45,"Cochrane, Stuart",22y 2d,7 (4-0-3 57.14%),,←,
2,"Colbert, Leigh",25y 45d,113 (68-1-44 60.62%),56 (0.50),8 (6-0-2 75.00%),6 (0.75)
6,"Grant, Shannon",23y 94d,127 (82-1-44 64.96%),143 (1.13),69 (50-0-19 72.46%),105 (1.52)
29,"Harvey, Brent",22y 69d,84 (59-0-25 70.24%),97 (1.15),←,
21,"Hewitt, Evan",22y 15d,33 (20-0-13 60.61%),22 (0.67),←,
34,"King, David",28y 137d,152 (103-0-49 67.76%),59 (0.39),←,
27,"Lange, Adam",21y 192d,23 (15-0-8 65.22%),20 (0.87),←,
35,"Makepeace, Troy",21y 138d,17 (12-0-5 70.59%),5 (0.29),←,
5,"McCartney, Jason",26y 130d,140 (81-0-59 57.86%),52 (0.37),65 (47-0-18 72.31%),4 (0.06)
28,"Pickett, Byron",22y 346d,71 (51-0-20 71.83%),3 (0.04),←,
13,"Pike, Martin",27y 251d,139 (69-0-70 49.64%),59 (0.42),79 (57-0-22 72.15%),19 (0.24)
24,"Sholl, Craig",32y 205d,233 (141-0-92 60.52%),158 (0.68),←,
7,"Simpson, Adam",24y 157d,110 (80-0-30 72.73%),40 (0.36),←,
30,"Stephens, Brad",21y 11d,1 (0-0-1 0.00%),,←,
10,"Stevens, Anthony",29y 20d,213 (134-0-79 62.91%),100 (0.47),←,
Totals,Totals,25y 209d,2556 (1567-2-987 61.31%),1976 (0.77),,
C,"Pagan, Denis",52y 302d,190 (127-0-63 66.84%),,←,
