Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Aliir, Aliir",10,7,6,16,,,,2.0,4.0,1.0,,2.0,1.0,,,3.0,13.0,,,5.0,,,100.0
14,"Bergman, Miles",17,8,5,22,,1.0,,,5.0,2.0,,7.0,,1.0,,3.0,18.0,,1.0,3.0,,,86.0
7,"Burgoyne, Jase",7,3,7,14,,,,5.0,3.0,1.0,2.0,1.0,3.0,,,7.0,7.0,,,1.0,,,87.0
9,"Butters, Zak",12,6,23,35,1,,,6.0,4.0,3.0,8.0,6.0,,2.0,,12.0,22.0,,1.0,1.0,4.0,,79.0
33,"Byrne-Jones, Darcy",5,3,3,8,,1.0,,,,1.0,,,,,,2.0,7.0,,,2.0,,,83.0
28,"Drew, Willem",6,4,10,16,,,,6.0,1.0,3.0,,3.0,,2.0,,4.0,11.0,2.0,,1.0,,,84.0
43,"Evans, Logan",11,5,9,20,,1.0,,2.0,5.0,3.0,,3.0,,,,6.0,14.0,1.0,,2.0,,,67.0
6,"Farrell, Kane",13,5,11,24,,,,2.0,5.0,2.0,2.0,2.0,,,,5.0,14.0,,,1.0,1.0,,85.0
11,"Finlayson, Jeremy",12,4,4,16,1,1.0,6.0,1.0,,5.0,3.0,3.0,1.0,1.0,,7.0,10.0,,,,2.0,2.0,86.0
19,"Georgiades, Mitch",8,6,1,9,3,1.0,,2.0,,3.0,,2.0,1.0,2.0,,2.0,7.0,1.0,3.0,1.0,,,82.0
18,"Horne-Francis, Jason",14,4,7,21,,3.0,,7.0,1.0,4.0,6.0,5.0,2.0,2.0,,10.0,11.0,,,1.0,1.0,3.0,80.0
5,"Houston, Dan",11,2,10,21,,1.0,,5.0,5.0,2.0,2.0,2.0,1.0,1.0,,8.0,8.0,,,3.0,,1.0,79.0
30,"Lord, Ollie",4,2,3,7,2,1.0,1.0,1.0,,,,1.0,1.0,,,4.0,3.0,,2.0,3.0,,,76.0
4,"Marshall, Todd",8,5,1,9,1,1.0,,1.0,,2.0,,2.0,1.0,,,3.0,6.0,2.0,2.0,,,1.0,89.0
41,"McEntee, Jed",4,2,4,8,1,,,1.0,,2.0,,1.0,,,,2.0,6.0,,,2.0,,,82.0
44,"Mead, Jackson",5,6,10,15,,,,3.0,2.0,,,,1.0,,,1.0,15.0,,,1.0,2.0,,80.0
42 ↑,"Narkle, Quinton",7,4,3,10,,1.0,,1.0,1.0,2.0,,1.0,,,,2.0,8.0,,1.0,,,,40.0
27,"Ratugolea, Esava",7,4,6,13,,,,3.0,5.0,1.0,,6.0,,,,5.0,8.0,,,9.0,,,97.0
1,"Rozee, Connor",13,8,15,28,,,,7.0,2.0,3.0,1.0,5.0,,2.0,,8.0,21.0,,,1.0,,,85.0
8,"Sinn, Josh",7,1,3,10,1,,,2.0,2.0,2.0,,3.0,1.0,,,4.0,6.0,,,1.0,,,64.0
24,"Sweet, Jordon",2,3,7,9,,,32.0,6.0,2.0,,1.0,3.0,1.0,3.0,,5.0,5.0,,1.0,3.0,,,68.0
16,"Wines, Ollie",9,3,8,17,,,,7.0,1.0,4.0,2.0,4.0,1.0,1.0,,5.0,11.0,,,1.0,,,74.0
25 ↓,"Zerk-Thatcher, Brandon",3,1,3,6,,,,4.0,,,,2.0,,1.0,,3.0,3.0,,,3.0,,,47.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,195,96,159,354,10,13.0,39.0,74.0,48.0,46.0,27.0,64.0,15.0,18.0,,111.0,234.0,6.0,11.0,45.0,10.0,7.0,
Opposition,Opposition,249,124,150,399,23,14.0,33.0,49.0,34.0,71.0,42.0,46.0,18.0,15.0,6.0,151.0,245.0,14.0,15.0,40.0,3.0,16.0,
