Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Buntine, Matt",11,6,3,14,,,,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,4.0,10.0,1.0,,6.0,,,85.0
18,"Cameron, Jeremy",4,4,5,9,1,,,1.0,,2.0,1.0,1.0,,1.0,,4.0,6.0,2.0,1.0,,,,88.0
3,"Coniglio, Stephen",17,2,10,27,2,,,6.0,1.0,6.0,7.0,3.0,2.0,1.0,2.0,12.0,14.0,1.0,,2.0,2.0,1.0,88.0
16,"Daniels, Brent",8,1,8,16,,1.0,,4.0,,4.0,1.0,3.0,1.0,2.0,,3.0,11.0,,,,,1.0,69.0
1,"Davis, Phil",9,7,5,14,,,,,4.0,2.0,,,2.0,,,7.0,8.0,1.0,,17.0,,,95.0
24,"de Boer, Matt",3,1,8,11,,1.0,,6.0,,1.0,2.0,3.0,,2.0,,6.0,6.0,,,,,,61.0
7,"Deledio, Brett",13,9,6,19,1,,,1.0,1.0,2.0,1.0,,,,,9.0,11.0,2.0,2.0,1.0,,2.0,85.0
31,"Finlayson, Jeremy",5,3,5,10,1,1.0,,2.0,,3.0,,,,,,4.0,5.0,1.0,1.0,1.0,,2.0,73.0
4,"Greene, Toby",13,5,7,20,3,,,4.0,,5.0,7.0,4.0,,4.0,,11.0,9.0,1.0,1.0,1.0,,1.0,84.0
27,"Himmelberg, Harry",8,6,5,13,1,,,2.0,,,,2.0,3.0,1.0,,8.0,5.0,2.0,1.0,2.0,,2.0,85.0
2,"Hopper, Jacob",15,2,14,29,1,1.0,,8.0,1.0,3.0,8.0,4.0,3.0,1.0,1.0,17.0,13.0,,,3.0,,,76.0
22,"Kelly, Josh",22,7,13,35,1,,,7.0,4.0,4.0,6.0,2.0,1.0,,,9.0,26.0,,1.0,,,2.0,87.0
40,"Kennedy, Adam",5,1,5,10,,,,3.0,2.0,1.0,3.0,2.0,1.0,2.0,,3.0,6.0,,,,,,86.0
41,"Mumford, Shane",2,1,8,10,,1.0,53.0,6.0,,1.0,4.0,3.0,4.0,3.0,,8.0,4.0,1.0,1.0,1.0,,,84.0
36,"Perryman, Harry",9,6,11,20,,,,2.0,2.0,,,2.0,,,,7.0,14.0,,1.0,1.0,,,75.0
50,"Reid, Sam",6,3,6,12,,,,2.0,2.0,,1.0,1.0,,1.0,,4.0,7.0,,,2.0,,,86.0
23,"Shaw, Heath",13,1,5,18,,,,3.0,8.0,,,2.0,1.0,1.0,,4.0,11.0,,,5.0,2.0,,97.0
42,"Stein, Jake",4,2,5,9,,,,8.0,,,2.0,2.0,2.0,1.0,,4.0,5.0,1.0,1.0,8.0,,,76.0
14,"Taranto, Tim",21,9,9,30,1,,,10.0,4.0,5.0,5.0,6.0,2.0,,3.0,8.0,20.0,,1.0,1.0,,,77.0
15,"Taylor, Sam",5,4,3,8,,,,2.0,2.0,1.0,1.0,,,,,5.0,3.0,1.0,,9.0,,,81.0
20,"Tomlinson, Adam",8,1,4,12,1,,2.0,5.0,1.0,3.0,2.0,3.0,1.0,1.0,,6.0,6.0,,,,,,84.0
29,"Williams, Zac",21,6,7,28,1,,,3.0,6.0,3.0,4.0,1.0,1.0,,,11.0,19.0,1.0,,5.0,2.0,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,222,87,152,374,14,7.0,55.0,89.0,41.0,47.0,56.0,45.0,25.0,22.0,6.0,154.0,219.0,15.0,11.0,65.0,6.0,11.0,
Opposition,Opposition,177,56,133,310,10,8.0,48.0,74.0,31.0,52.0,41.0,61.0,22.0,25.0,,151.0,156.0,11.0,8.0,57.0,4.0,6.0,
