Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
32,"Carroll, Matt",19y 233d,12 (6-0-6 50.00%),1 (0.08),←,
5,"Cerra, Adam",25y 285d,147 (67-1-79 45.92%),38 (0.26),71 (35-1-35 50.00%),22 (0.31)
2,"Cowan, Lachlan",20y 230d,33 (15-1-17 46.97%),2 (0.06),←,
9,"Cripps, Patrick",30y 123d,225 (83-2-140 37.33%),125 (0.56),←,
30,"Curnow, Charlie",28y 166d,148 (57-1-90 38.85%),311 (2.10),←,
12,"De Koning, Tom",26y 3d,95 (49-1-45 52.11%),35 (0.37),←,
15,"Docherty, Sam",31y 275d,183 (72-2-109 39.89%),30 (0.16),170 (66-2-102 39.41%),29 (0.17)
19,"Durdin, Corey",23y 96d,59 (30-0-29 50.85%),46 (0.78),←,
44,"Evans, Francis",23y 330d,40 (27-0-13 67.50%),24 (0.60),6 (2-0-4 33.33%),2 (0.33)
8,"Fogarty, Lachie",26y 109d,86 (47-0-39 54.65%),34 (0.40),63 (34-0-29 53.97%),28 (0.44)
26,"Haynes, Nick",33y 62d,229 (107-4-118 47.60%),13 (0.06),18 (7-0-11 38.89%),
29,"Hewett, George",29y 202d,197 (113-1-83 57.61%),52 (0.26),77 (42-1-34 55.19%),20 (0.26)
4,"Hollands, Oliver",21y 184d,60 (30-1-29 50.83%),11 (0.18),←,
36,"Lord, Cooper",20y 121d,19 (8-0-11 42.11%),5 (0.26),←,
43,"Moir, Ashton",20y 95d,6 (2-0-4 33.33%),7 (1.17),←,
3,"Motlop, Jesse",21y 238d,58 (25-1-32 43.97%),55 (0.95),←,
22,"OFarrell, Harry",19y 77d,4 (1-0-3 25.00%),,←,
27,"Pittonet, Marc",29y 46d,78 (34-0-44 43.59%),12 (0.15),71 (29-0-42 40.85%),12 (0.17)
42,"Saad, Adam",30y 361d,211 (94-3-114 45.26%),12 (0.06),102 (51-1-50 50.49%),4 (0.04)
23,"Weitering, Jacob",27y 238d,199 (75-1-123 37.94%),11 (0.06),←,
38,"White, Will",21y 123d,10 (6-0-4 60.00%),7 (0.70),←,
6,"Williams, Zac",30y 302d,169 (86-0-83 50.89%),65 (0.38),56 (27-0-29 48.21%),38 (0.68)
45,"Young, Flynn",23y 166d,4 (1-0-3 25.00%),1 (0.25),←,
Totals,Totals,25y 161d,2272 (1035-19-1218 45.55%),897 (0.39),,
C,"Voss, Michael",50y 12d,198 (89-2-107 45.45%),,89 (46-1-42 52.25%),
