Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
3,"Brereton, Dermott",30y 249d,198 (143-2-53 72.73%),439 (2.22),2 (0-1-1 25.00%),5 (2.50)
26,"Brown, Gavin",27y 212d,150 (81-4-65 55.33%),125 (0.83),←,
5,"Buckley, Nathan",22y 273d,47 (16-1-30 35.11%),45 (0.96),27 (12-1-14 46.30%),24 (0.89)
17,"Burns, Scott",20y 123d,4 (0-1-3 12.50%),1 (0.25),←,
21,"Christian, Michael",30y 247d,126 (66-3-57 53.57%),23 (0.18),←,
28,"Crosisca, Gavin",26y 222d,144 (84-4-56 59.72%),47 (0.33),←,
43,"Curran, Chris",20y 265d,2 (0-1-1 25.00%),,←,
15,"Hassall, Jon",21y 254d,27 (12-1-14 46.30%),7 (0.26),←,
38,"James, Aaron",18y 176d,3 (1-1-1 50.00%),,←,
8,"James, Brett",22y 131d,20 (9-1-10 47.50%),20 (1.00),←,
23,"Kelly, Craig",28y 313d,99 (57-3-39 59.09%),43 (0.43),←,
44,"Kerrison, Shane",30y 28d,138 (80-3-55 59.06%),14 (0.10),←,
34,"McGuane, Mick",27y 117d,138 (81-3-54 59.78%),114 (0.83),←,
1,"Monkhorst, Damian",25y 247d,121 (73-3-45 61.57%),27 (0.22),←,
13,"Richardson, Alan",29y 343d,91 (52-3-36 58.79%),10 (0.11),←,
36,"Rocca, Saverio",21y 156d,53 (29-1-23 55.66%),168 (3.17),←,
18,"Walker, Lee",22y 77d,4 (0-1-3 12.50%),3 (0.75),←,
14,"Watson, Shane",21y 67d,57 (29-1-27 51.75%),41 (0.72),←,
27,"Wild, Jason",19y 74d,1 (0-1-0 50.00%),,←,
10,"Williams, Paul",22y 22d,74 (40-1-33 54.73%),79 (1.07),←,
19,"Wright, Graham",26y 323d,133 (86-3-44 65.79%),90 (0.68),←,
Totals,Totals,24y 221d,1630 (939-42-649 57.61%),1296 (0.80),,
C,"Matthews, Leigh",43y 55d,206 (117-4-85 57.77%),,←,
