Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Boak, Travis",10,2,6,16,1,,,7.0,1.0,3.0,4.0,6.0,4.0,1.0,,10.0,5.0,,,,,1.0,84.0
5,"Broadbent, Matthew",18,8,7,25,,,1.0,2.0,5.0,6.0,,4.0,1.0,,,10.0,14.0,1.0,,1.0,,1.0,86.0
27,"Carlile, Alipate",4,2,6,10,,,,1.0,2.0,1.0,,,2.0,,,6.0,5.0,,,6.0,,,94.0
17,"Clurey, Tom",3,1,1,4,,,,1.0,,2.0,1.0,1.0,,,,1.0,2.0,,,4.0,,,84.0
30,"Colquhoun, Sam",11,1,9,20,,,,1.0,4.0,,2.0,4.0,1.0,1.0,,8.0,12.0,,,1.0,,,76.0
7,"Ebert, Brad",18,9,10,28,,,1.0,5.0,3.0,5.0,5.0,2.0,,2.0,,9.0,19.0,,,1.0,,1.0,86.0
9,"Gray, Robbie",13,,14,27,2,,,4.0,3.0,2.0,11.0,7.0,,3.0,,16.0,11.0,,,1.0,,,85.0
46,"Gray, Sam",9,2,3,12,,1.0,,,1.0,3.0,1.0,4.0,,1.0,,9.0,5.0,1.0,1.0,,,,86.0
8,"Hartlett, Hamish",10,3,9,19,,,,6.0,1.0,3.0,6.0,,1.0,,,9.0,8.0,,,1.0,,,74.0
36,"Hombsch, Jack",7,4,3,10,,,1.0,4.0,2.0,1.0,,1.0,1.0,1.0,,7.0,5.0,1.0,,11.0,1.0,,89.0
24,"Impey, Jarman",4,1,11,15,,,,3.0,1.0,1.0,2.0,1.0,,,,7.0,8.0,,,3.0,,,86.0
42,"Jonas, Tom",4,1,5,9,,,,5.0,1.0,,1.0,1.0,1.0,,,6.0,4.0,,,5.0,,1.0,89.0
23,"Lobbe, Matthew",3,,2,5,,,52.0,9.0,,1.0,,1.0,,,,2.0,3.0,,,5.0,,,90.0
6,"Monfries, Angus",4,2,5,9,1,,,1.0,,2.0,,1.0,2.0,1.0,,4.0,5.0,,,2.0,,,91.0
29,"Pittard, Jasper",14,4,8,22,,,,,4.0,3.0,1.0,3.0,1.0,,,9.0,11.0,1.0,,2.0,1.0,,85.0
28,"Schulz, Jay",7,4,4,11,1,,,4.0,,2.0,,3.0,1.0,2.0,,5.0,7.0,1.0,1.0,3.0,,,94.0
14,"Stewart, Paul",4,2,3,7,,,,2.0,,3.0,,2.0,,,,3.0,4.0,,,,,,79.0
39,"Westhoff, Justin",7,2,6,13,2,,2.0,6.0,2.0,2.0,2.0,3.0,1.0,,,7.0,8.0,,1.0,10.0,,,90.0
19 ↓,"White, Matt",1,,4,5,,,,2.0,,,1.0,2.0,,1.0,,2.0,3.0,,,,,,35.0
16,"Wines, Ollie",15,,9,24,,,2.0,7.0,,3.0,10.0,6.0,1.0,1.0,,13.0,10.0,,,2.0,,,78.0
20,"Wingard, Chad",21,5,6,27,4,1.0,,3.0,2.0,9.0,6.0,4.0,1.0,1.0,1.0,13.0,12.0,1.0,3.0,2.0,3.0,2.0,95.0
40 ↑,"Young, Aaron",6,1,1,7,,,,3.0,2.0,3.0,,5.0,,2.0,,2.0,4.0,,,1.0,,,45.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,193,54,132,325,11,3.0,59.0,76.0,34.0,55.0,53.0,61.0,18.0,17.0,1.0,158.0,165.0,6.0,6.0,61.0,5.0,6.0,
Opposition,Opposition,216,77,121,337,14,8.0,63.0,77.0,42.0,53.0,57.0,49.0,17.0,18.0,5.0,151.0,177.0,12.0,9.0,44.0,2.0,6.0,
