Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Ambrose, Patrick",5,4,6,11,,,,,1.0,2.0,,2.0,,1.0,,2.0,8.0,1.0,,8.0,,,85.0
12,"Baguley, Mark",12,6,3,15,,,,1.0,3.0,1.0,1.0,4.0,,1.0,,2.0,10.0,,,4.0,,,85.0
28,"Brown, Mitch",13,5,16,29,,,,1.0,2.0,2.0,,4.0,,1.0,,6.0,23.0,,,5.0,,,86.0
32,"Colyer, Travis",15,7,9,24,3,1.0,,5.0,3.0,5.0,,6.0,1.0,,,9.0,15.0,2.0,3.0,,5.0,2.0,77.0
6,"Daniher, Joe",11,10,8,19,2,2.0,7.0,,2.0,1.0,,2.0,1.0,1.0,,3.0,15.0,,3.0,,1.0,,94.0
13,"Fantasia, Orazio",7,1,11,18,1,1.0,,4.0,1.0,5.0,1.0,3.0,3.0,2.0,,5.0,14.0,,,1.0,1.0,2.0,82.0
9,"Goddard, Brendon",15,6,19,34,,,,2.0,1.0,3.0,8.0,4.0,,1.0,,15.0,20.0,,,5.0,,1.0,82.0
15,"Green, Josh",8,2,4,12,,2.0,,2.0,,4.0,1.0,1.0,,,,7.0,5.0,,,,,1.0,73.0
21,"Heppell, Dyson",11,2,11,22,,,,1.0,,3.0,4.0,2.0,1.0,,,9.0,13.0,,,,,,85.0
26,"Hooker, Cale",4,6,4,8,,,,3.0,,2.0,,3.0,1.0,,,5.0,4.0,2.0,,2.0,,,87.0
18,"Hurley, Michael",15,8,8,23,,,,,4.0,1.0,,,,,,2.0,20.0,,,5.0,1.0,,98.0
47,"Kelly, James",9,4,16,25,,,,2.0,,1.0,1.0,3.0,,1.0,,8.0,18.0,,,2.0,,,84.0
30,"Langford, Kyle",8,5,7,15,2,,,3.0,1.0,3.0,,2.0,,,,2.0,12.0,,2.0,1.0,,,83.0
22,"Leuenberger, Matthew",7,1,7,14,,,38.0,1.0,2.0,,2.0,5.0,,3.0,,6.0,8.0,,,4.0,,,82.0
43,"McDonald-Tipungwuti, Anthony",8,5,8,16,4,,,2.0,1.0,2.0,3.0,6.0,1.0,2.0,,8.0,8.0,1.0,3.0,,,,73.0
1,"McGrath, Andrew",8,4,20,28,,,,4.0,2.0,2.0,,2.0,1.0,1.0,,6.0,22.0,,1.0,3.0,2.0,1.0,87.0
45,"McKenna, Conor",10,5,8,18,,,,3.0,2.0,1.0,,3.0,1.0,1.0,,6.0,12.0,,1.0,1.0,1.0,,73.0
7,"Merrett, Zach",19,5,16,35,,,,7.0,3.0,2.0,5.0,1.0,2.0,,,12.0,24.0,,,,,1.0,76.0
3,"Parish, Darcy",11,4,13,24,,,,1.0,5.0,2.0,5.0,3.0,,,,7.0,16.0,,,,,1.0,75.0
5,"Stanton, Brent",13,8,9,22,,,,1.0,3.0,2.0,1.0,1.0,1.0,,,6.0,15.0,,,2.0,,1.0,74.0
4,"Watson, Jobe",6,3,10,16,,,,2.0,,,4.0,3.0,2.0,1.0,,8.0,8.0,,,2.0,,,67.0
11,"Zaharakis, David",15,8,15,30,1,,,3.0,1.0,3.0,3.0,6.0,,2.0,,8.0,22.0,,1.0,1.0,,,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,230,109,228,458,13,10.0,45.0,48.0,37.0,47.0,39.0,66.0,15.0,18.0,,142.0,312.0,6.0,14.0,46.0,11.0,10.0,
Opposition,Opposition,205,75,207,412,24,9.0,39.0,60.0,30.0,63.0,39.0,49.0,18.0,15.0,6.0,157.0,254.0,13.0,19.0,46.0,10.0,17.0,
