Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
26,"Doyle, Greg",24y 288d,19 (9-0-10 47.37%),12 (0.63),17 (9-0-8 52.94%),9 (0.53)
20,"Febey, Matthew",25y 324d,64 (33-0-31 51.56%),21 (0.33),←,
21,"Febey, Steven",25y 324d,147 (82-0-65 55.78%),21 (0.14),←,
15,"Hopgood, Paul",21y 353d,32 (21-0-11 65.63%),2 (0.06),←,
7,"Kowal, Darren",23y 21d,44 (26-0-18 59.09%),27 (0.61),←,
16,"Lovell, Andy",24y 346d,113 (57-1-55 50.88%),134 (1.19),←,
17,"Lovett, Brett",29y 50d,189 (109-1-79 57.94%),34 (0.18),←,
6,"Lovett, Glenn",25y 351d,89 (42-0-47 47.19%),60 (0.67),←,
3,"Lyon, Garry",27y 299d,184 (107-1-76 58.42%),334 (1.82),←,
28,"Molloy, Glenn",23y 299d,15 (9-0-6 60.00%),4 (0.27),←,
9,"Neitz, David",20y 168d,58 (30-0-28 51.72%),36 (0.62),←,
4,"Obst, Andrew",30y 324d,101 (58-0-43 57.43%),47 (0.47),←,
19,"Prymke, Paul",24y 213d,37 (19-0-18 51.35%),2 (0.05),←,
24,"Sampson, Clay",19y 135d,2 (2-0-0 100.00%),,←,
10,"Seecamp, Marcus",22y 347d,65 (25-0-40 38.46%),13 (0.20),14 (7-0-7 50.00%),3 (0.21)
29,"Smith, Shaun",26y 17d,61 (34-1-26 56.56%),65 (1.07),14 (7-0-7 50.00%),27 (1.93)
11,"Stynes, Jim",29y 77d,192 (109-1-82 57.03%),116 (0.60),←,
2,"Tingay, Stephen",24y 330d,115 (64-0-51 55.65%),52 (0.45),←,
12,"Viney, Todd",29y 101d,155 (82-1-72 53.23%),61 (0.39),←,
27,"Wight, Sean",31y 116d,143 (79-0-64 55.24%),63 (0.44),←,
44,"Yze, Adem",17y 291d,2 (2-0-0 100.00%),1 (0.50),←,
Totals,Totals,25y 88d,1827 (999-6-822 54.68%),1105 (0.60),,
C,"Balme, Neil",43y 175d,59 (31-0-28 52.54%),,←,
