Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
19,"Bishop, Matthew",27y 316d,77 (45-1-31 59.09%),6 (0.08),59 (38-1-20 65.25%),2 (0.03)
20,"Brogan, Dean",24y 160d,16 (12-0-4 75.00%),6 (0.38),←,
7,"Burgoyne, Peter",25y 114d,119 (64-2-53 54.62%),139 (1.17),←,
8,"Burgoyne, Shaun",20y 214d,26 (21-0-5 80.77%),51 (1.96),←,
9,"Carr, Josh",23y 24d,70 (47-1-22 67.86%),36 (0.51),←,
26,"Cochrane, Stuart",24y 307d,59 (29-0-30 49.15%),13 (0.22),9 (6-0-3 66.67%),2 (0.22)
12,"Cockatoo-Collins, Che",28y 79d,149 (90-3-56 61.41%),202 (1.36),64 (43-0-21 67.19%),93 (1.45)
18,"Cornes, Kane",20y 138d,31 (21-0-10 67.74%),10 (0.32),←,
34,"Guerra, Brent",20y 359d,58 (41-0-17 70.69%),37 (0.64),←,
11,"Hardwick, Damien",30y 278d,181 (122-1-58 67.68%),13 (0.07),28 (21-0-7 75.00%),
38,"James, Roger",27y 214d,109 (63-2-44 58.72%),69 (0.63),←,
29,"Kingsley, Adam",27y 276d,117 (64-2-51 55.56%),24 (0.21),←,
5,"Lade, Brendon",26y 317d,87 (45-2-40 52.87%),59 (0.68),←,
3,"Montgomery, Brett",29y 356d,135 (84-2-49 62.96%),87 (0.64),75 (44-1-30 59.33%),33 (0.44)
14,"Paxman, Stephen",32y 170d,224 (85-2-137 38.39%),36 (0.16),122 (63-2-57 52.46%),18 (0.15)
15,"Pickett, Byron",25y 285d,129 (80-0-49 62.02%),90 (0.70),9 (6-0-3 66.67%),9 (1.00)
6,"Schofield, Jarrad",28y 113d,153 (91-1-61 59.80%),108 (0.71),90 (52-1-37 58.33%),74 (0.82)
36,"Stevens, Nick",23y 140d,113 (63-2-48 56.64%),70 (0.62),←,
16,"Tredrea, Warren",24y 150d,114 (63-1-50 55.70%),220 (1.93),←,
2,"Wakelin, Darryl",28y 285d,166 (89-1-76 53.92%),11 (0.07),51 (36-0-15 70.59%),3 (0.06)
4,"Wanganeen, Gavin",29y 339d,241 (138-5-98 58.30%),152 (0.63),114 (65-2-47 57.89%),89 (0.78)
21,"Wilson, Michael",26y 183d,103 (50-3-50 50.00%),33 (0.32),←,
Totals,Totals,26y 103d,2477 (1407-31-1039 56.80%),1472 (0.59),,
C,"Williams, Mark",44y 275d,102 (59-1-42 58.33%),,←,
