Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
19,"Beveridge, Luke",24y 305d,67 (38-1-28 57.46%),66 (0.99),25 (14-1-10 58.00%),25 (1.00)
18,"Cameron, Leon",22y 295d,97 (49-2-46 51.55%),43 (0.44),←,
16,"Croft, Matthew",22y 118d,31 (17-1-13 56.45%),17 (0.55),←,
3,"Grant, Chris",22y 193d,112 (59-2-51 53.57%),243 (2.17),←,
1,"Grgic, Ilija",23y 111d,42 (23-1-18 55.95%),57 (1.36),←,
29,"Griffin, Daryl",19y 152d,4 (0-1-3 12.50%),,←,
6,"Johnson, Brad",18y 341d,21 (9-1-11 45.24%),13 (0.62),←,
4,"Kellett, Nigel",25y 188d,67 (34-1-32 51.49%),26 (0.39),←,
12,"Koster, Kym",22y 143d,28 (14-1-13 51.79%),10 (0.36),←,
39,"Liberatore, Tony",29y 133d,140 (76-2-62 55.00%),71 (0.51),←,
27,"Macpherson, Stephen",30y 204d,186 (91-4-91 50.00%),152 (0.82),←,
13,"Nichol, Andrew",20y 205d,1 (0-1-0 50.00%),,←,
9,"Nicholson, Brad",21y 20d,18 (8-1-9 47.22%),1 (0.06),←,
44,"Osborne, Richard",31y 8d,233 (96-1-136 41.42%),508 (2.18),30 (15-1-14 51.67%),58 (1.93)
22,"Quill, Peter",25y 305d,33 (19-1-13 59.09%),13 (0.39),←,
5,"Smith, Rohan",22y 24d,42 (23-1-18 55.95%),23 (0.55),←,
8,"Southern, Daniel",20y 174d,33 (14-1-18 43.94%),7 (0.21),←,
17,"Standfield, Barry",25y 131d,86 (46-1-39 54.07%),34 (0.40),←,
24,"Wallis, Stephen",30y 240d,240 (126-3-111 53.13%),57 (0.24),←,
7,"West, Scott",20y 222d,52 (26-1-25 50.96%),33 (0.63),←,
15,"Wynd, Scott",25y 150d,115 (57-2-56 50.43%),23 (0.20),←,
Totals,Totals,24y 18d,1648 (825-30-793 50.06%),1397 (0.85),,
C,"Joyce, Alan",52y 246d,127 (83-1-43 65.75%),,34 (16-1-17 48.53%),
