Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
37,"Bassett, Adrian",23y 92d,11 (5-0-6 45.45%),4 (0.36),←,
8,"Blackwell, Wayne",29y 285d,106 (60-0-46 56.60%),80 (0.75),←,
21,"Bradley, Craig",26y 231d,104 (66-1-37 63.94%),81 (0.78),←,
5,"Da Rui, Steven",26y 82d,41 (25-1-15 62.20%),5 (0.12),←,
35,"Dean, Peter",25y 94d,96 (64-1-31 67.19%),14 (0.15),←,
2,"Fotia, Dominic",20y 184d,4 (1-0-3 25.00%),,←,
32,"Glascott, David",29y 45d,166 (108-1-57 65.36%),78 (0.47),←,
12,"Gleeson, Adrian",23y 42d,80 (51-1-28 64.38%),84 (1.05),←,
13,"Hanna, Mil",24y 67d,56 (29-1-26 52.68%),18 (0.32),←,
11,"Hawker, Glenn",29y 86d,215 (134-2-79 62.79%),188 (0.87),15 (7-1-7 50.00%),16 (1.07)
28,"Kernahan, David",24y 335d,16 (7-0-9 43.75%),7 (0.44),←,
4,"Kernahan, Stephen",26y 283d,105 (66-1-38 63.33%),278 (2.65),←,
44,"Madden, Justin",29y 11d,193 (122-1-70 63.47%),139 (0.72),148 (92-1-55 62.50%),119 (0.80)
45,"McKenzie, Warren",25y 315d,62 (38-1-23 62.10%),41 (0.66),←,
23,"Meldrum, Paul",29y 271d,138 (90-1-47 65.58%),134 (0.97),←,
17,"Naley, Mark",29y 92d,62 (38-1-23 62.10%),72 (1.16),←,
19,"Phillips, Andrew",20y 135d,14 (6-1-7 46.43%),8 (0.57),←,
36,"Rieniets, Tim",24y 58d,6 (4-0-2 66.67%),2 (0.33),←,
18,"Sartori, Peter",25y 230d,35 (22-0-13 62.86%),74 (2.11),←,
1,"Silvagni, Stephen",23y 11d,86 (56-0-30 65.12%),54 (0.63),←,
Totals,Totals,25y 294d,1596 (992-14-590 62.16%),1361 (0.85),,
C,"Jesaulenko, Alex",44y 313d,129 (60-3-66 47.67%),,65 (47-1-17 73.08%),
