Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",26y 51d,148 (88-0-60 59.46%),140 (0.95),25 (4-0-21 16.00%),20 (0.80)
30,"Brown, Leigh",20y 57d,46 (12-0-34 26.09%),13 (0.28),←,
9,"Carr, Matthew",23y 113d,53 (11-1-41 21.70%),12 (0.23),25 (4-0-21 16.00%),10 (0.40)
10,"Cook, Troy",25y 252d,91 (36-0-55 39.56%),39 (0.43),48 (12-0-36 25.00%),28 (0.58)
24,"Croad, Trent",22y 43d,88 (46-1-41 52.84%),91 (1.03),4 (2-0-2 50.00%),11 (2.75)
38,"Cunningham, Ben",20y 150d,12 (3-0-9 25.00%),11 (0.92),←,
7,"Farmer, Jeff",24y 301d,120 (53-0-67 44.17%),261 (2.17),2 (1-0-1 50.00%),2 (1.00)
18,"Fewster, Brendon",28y 107d,67 (28-0-39 41.79%),43 (0.64),34 (12-0-22 35.29%),16 (0.47)
14,"Grover, Antoni",22y 41d,21 (4-0-17 19.05%),3 (0.14),←,
4,"Hasleby, Paul",20y 313d,45 (11-0-34 24.44%),31 (0.69),←,
28,"Koops, Steven",23y 271d,47 (16-0-31 34.04%),40 (0.85),←,
20,"Longmuir, Justin",21y 90d,39 (8-0-31 20.51%),40 (1.03),←,
21,"Longmuir, Troy",22y 331d,48 (13-0-35 27.08%),16 (0.33),31 (8-0-23 25.81%),13 (0.42)
8,"McManus, Shaun",26y 71d,105 (30-0-75 28.57%),57 (0.54),←,
17,"McPhee, Adam",19y 197d,15 (3-0-12 20.00%),6 (0.40),←,
34,"Medhurst, Paul",20y 131d,4 (2-0-2 50.00%),7 (1.75),←,
25,"Norrish, Jason",30y 85d,132 (47-0-85 35.61%),24 (0.18),112 (35-0-77 31.25%),22 (0.20)
23,"Parker, Shane",29y 62d,132 (41-0-91 31.06%),9 (0.07),←,
29,"Pavlich, Matthew",20y 111d,43 (10-0-33 23.26%),44 (1.02),←,
35,"Siegert, Andrew",20y 93d,4 (2-0-2 50.00%),,←,
2,"Simmonds, Troy",23y 282d,42 (21-0-21 50.00%),7 (0.17),2 (1-0-1 50.00%),
19,"Walker, James",23y 96d,57 (14-0-43 24.56%),7 (0.12),←,
Totals,Totals,23y 148d,1359 (499-2-858 36.72%),901 (0.66),,
C,"Connolly, Chris",39y 27d,5 (3-0-2 60.00%),,4 (2-0-2 50.00%),
