Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
26,"Anderson, Joe",19y 187d,6 (2-0-4 33.33%),,←,
7,"Bentick, Adam",23y 15d,64 (18-1-45 28.91%),13 (0.20),←,
19,"Betts, Eddie",21y 215d,71 (16-2-53 23.94%),78 (1.10),←,
15,"Browne, Steven",19y 148d,8 (4-0-4 50.00%),3 (0.38),←,
44,"Carrazzo, Andrew",24y 196d,77 (20-2-55 27.27%),20 (0.26),←,
28,"Cloke, Cameron",23y 191d,39 (17-0-22 43.59%),18 (0.46),18 (8-0-10 44.44%),7 (0.39)
37,"Edwards, Jake",20y 174d,4 (2-0-2 50.00%),4 (1.00),←,
25,"Fevola, Brendan",27y 160d,156 (53-2-101 34.62%),448 (2.87),←,
14,"Fisher, Brad",24y 80d,83 (24-1-58 29.52%),107 (1.29),←,
4,"Gibbs, Bryce",19y 105d,35 (10-0-25 28.57%),15 (0.43),←,
16,"Grigg, Shaun",20y 70d,17 (7-0-10 41.18%),2 (0.12),←,
40,"Jamison, Michael",22y 17d,15 (5-0-10 33.33%),,←,
8,"Kreuzer, Matthew",19y 46d,12 (7-0-5 58.33%),6 (0.50),←,
3,"Murphy, Marc",20y 345d,49 (13-0-36 26.53%),28 (0.57),←,
17,"OhAilpin, Setanta",25y 102d,46 (12-1-33 27.17%),18 (0.39),←,
2,"Russell, Jordan",21y 235d,42 (11-1-30 27.38%),5 (0.12),←,
29,"Scotland, Heath",27y 343d,152 (51-1-100 33.88%),48 (0.32),99 (28-1-70 28.79%),36 (0.36)
6,"Simpson, Kade",24y 54d,79 (21-1-57 27.22%),45 (0.57),←,
24,"Stevens, Nick",28y 177d,206 (99-4-103 49.03%),123 (0.60),79 (25-2-52 32.91%),45 (0.57)
32,"Thornton, Bret",24y 226d,120 (30-1-89 25.42%),2 (0.02),←,
30,"Waite, Jarrad",25y 145d,98 (26-2-70 27.55%),103 (1.05),←,
34,"Wiggins, Simon",25y 291d,97 (29-1-67 30.41%),27 (0.28),←,
Totals,Totals,23y 44d,1476 (477-20-979 32.32%),1113 (0.75),,
C,"Ratten, Brett",36y 353d,20 (7-0-13 35.00%),,←,
