Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
5,"Buckley, Nathan",31y 364d,238 (98-2-138 41.60%),235 (0.99),218 (94-2-122 43.58%),214 (0.98)
17,"Burns, Scott",29y 214d,175 (77-1-97 44.29%),100 (0.57),←,
8,"Clement, James",27y 324d,167 (70-0-97 41.92%),46 (0.28),83 (44-0-39 53.01%),8 (0.10)
34,"Cloke, Jason",22y 79d,58 (34-0-24 58.62%),5 (0.09),←,
13,"Cole, Richard",21y 9d,43 (24-0-19 55.81%),6 (0.14),←,
1,"Davis, Leon",23y 37d,83 (39-0-44 46.99%),94 (1.13),←,
25,"Fraser, Josh",22y 201d,103 (53-0-50 51.46%),98 (0.95),←,
6,"Holland, Brodie",24y 203d,103 (44-0-59 42.72%),105 (1.02),67 (36-0-31 53.73%),68 (1.01)
26,"Johnson, Ben",23y 110d,95 (51-0-44 53.68%),19 (0.20),←,
32,"King, David",19y 173d,5 (1-0-4 20.00%),2 (0.40),←,
18,"Licuria, Paul",26y 202d,133 (59-0-74 44.36%),40 (0.30),123 (57-0-66 46.34%),38 (0.31)
24,"Lockyer, Tarkyn",24y 268d,92 (43-0-49 46.74%),51 (0.55),←,
29,"Lokan, Matthew",21y 247d,40 (22-0-18 55.00%),18 (0.45),←,
3,"Lonie, Ryan",21y 142d,81 (44-0-37 54.32%),38 (0.47),←,
43,"Maxwell, Nick",21y 51d,7 (4-0-3 57.14%),,←,
12,"McKee, Steven",26y 34d,81 (43-0-38 53.09%),14 (0.17),61 (33-0-28 54.10%),13 (0.21)
11,"OBree, Shane",25y 131d,119 (60-0-59 50.42%),47 (0.39),100 (51-0-49 51.00%),44 (0.44)
35,"Prestigiacomo, Simon",26y 175d,140 (57-0-83 40.71%),3 (0.02),←,
41,"Rowe, Julian",19y 60d,4 (2-0-2 50.00%),,←,
22,"Shaw, Rhyce",22y 282d,34 (18-0-16 52.94%),5 (0.15),←,
38,"Walker, Tristen",20y 104d,15 (11-0-4 73.33%),3 (0.20),←,
2,"Woewodin, Shane",28y 12d,180 (87-0-93 48.33%),87 (0.48),42 (23-0-19 54.76%),24 (0.57)
Totals,Totals,24y 23d,1996 (941-3-1052 47.14%),1016 (0.51),,
C,"Malthouse, Mick",50y 342d,489 (279-4-206 57.46%),,111 (56-0-55 50.45%),
