Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Angwin, Ryan",4,3,8,12,,,,3.0,,2.0,,,,,,5.0,7.0,,,1.0,,,60.0
7,"Ash, Lachie",18,5,12,30,,,,1.0,7.0,2.0,2.0,4.0,,,,4.0,23.0,,,1.0,6.0,,80.0
14,"Bedford, Toby",5,2,10,15,,1.0,,9.0,1.0,3.0,4.0,1.0,,,,5.0,11.0,,,1.0,,1.0,85.0
32,"Briggs, Kieren",11,5,13,24,,,27.0,7.0,2.0,5.0,8.0,4.0,1.0,,,16.0,7.0,1.0,1.0,1.0,,,78.0
46,"Brown, Callum",8,6,4,12,1,1.0,,3.0,,2.0,,3.0,,,,3.0,9.0,2.0,4.0,1.0,1.0,2.0,81.0
44,"Buckley, Jack",8,5,6,14,,,,3.0,1.0,2.0,,2.0,,,,6.0,7.0,,,2.0,,,89.0
5 ↓,"Cadman, Aaron",1,,2,3,,,,2.0,,,,1.0,,,,2.0,1.0,,,,,,49.0
17,"Callaghan, Finn",8,3,14,22,,,,3.0,2.0,2.0,2.0,5.0,,1.0,,5.0,16.0,,,2.0,1.0,,70.0
3,"Coniglio, Stephen",18,1,16,34,,1.0,,9.0,2.0,7.0,7.0,2.0,3.0,,,12.0,22.0,,,,,,85.0
13,"Cumming, Isaac",8,4,6,14,,,,2.0,1.0,5.0,,,1.0,,,1.0,13.0,,,2.0,,1.0,79.0
16,"Daniels, Brent",10,3,7,17,1,1.0,,,,6.0,2.0,5.0,,2.0,,6.0,11.0,,1.0,1.0,,1.0,82.0
4,"Greene, Toby",15,3,4,19,5,2.0,,3.0,,6.0,2.0,4.0,2.0,,3.0,7.0,12.0,,1.0,2.0,,1.0,97.0
19 ↑,"Haynes, Nick",5,1,2,7,,,,,1.0,,,1.0,,,,3.0,4.0,1.0,,1.0,,,27.0
27,"Himmelberg, Harry",13,3,8,21,,,,1.0,4.0,1.0,,4.0,,2.0,,5.0,14.0,,,4.0,,,78.0
39,"Idun, Connor",6,2,11,17,,,,4.0,7.0,1.0,,1.0,1.0,,,6.0,12.0,,,6.0,,,89.0
25,"Keeffe, Lachlan",4,1,4,8,,,11.0,3.0,,1.0,1.0,2.0,,1.0,,4.0,4.0,,,2.0,,1.0,64.0
22,"Kelly, Josh",10,1,15,25,1,,,14.0,,4.0,2.0,7.0,,1.0,,11.0,14.0,,,1.0,,,90.0
38,"Lloyd, Daniel",4,3,7,11,,,,3.0,1.0,,,1.0,,,,5.0,7.0,,,,,,81.0
36,"Perryman, Harry",14,6,5,19,,,,3.0,2.0,,1.0,8.0,,1.0,,6.0,14.0,,,1.0,,,79.0
26,"Riccardi, Jake",8,4,1,9,3,1.0,,3.0,,2.0,,4.0,1.0,1.0,,4.0,6.0,,4.0,4.0,,1.0,88.0
15,"Taylor, Sam",10,8,8,18,,,,2.0,3.0,2.0,,1.0,1.0,,,9.0,7.0,4.0,,15.0,,,100.0
8,"Ward, Callan",9,1,13,22,,1.0,,5.0,3.0,1.0,4.0,1.0,2.0,,,10.0,13.0,,1.0,,,,83.0
6,"Whitfield, Lachie",21,9,15,36,,,,4.0,9.0,2.0,,5.0,1.0,1.0,,9.0,20.0,,,1.0,2.0,1.0,85.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,79,191,409,11,12.0,38.0,87.0,46.0,56.0,35.0,66.0,13.0,10.0,3.0,144.0,254.0,8.0,12.0,49.0,10.0,9.0,
Opposition,Opposition,217,78,167,384,10,13.0,45.0,67.0,44.0,57.0,51.0,60.0,10.0,13.0,3.0,151.0,232.0,12.0,16.0,65.0,2.0,8.0,
