Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
14,"Bugg, Tomas",20y 100d,26 (2-0-24 7.69%),8 (0.31),←,
18,"Cameron, Jeremy",20y 104d,30 (2-0-28 6.67%),68 (2.27),←,
35,"Corr, Aidan",19y 58d,10 (0-0-10 0.00%),1 (0.10),←,
13,"Darley, Sam",20y 149d,10 (0-0-10 0.00%),1 (0.10),←,
1,"Davis, Phil",22y 318d,46 (13-0-33 28.26%),6 (0.13),28 (2-0-26 7.14%),5 (0.18)
22,"Edwards, Shaun",19y 213d,11 (0-0-11 0.00%),2 (0.18),←,
26,"Giles, Jonathan",25y 187d,35 (2-0-33 5.71%),24 (0.69),←,
38,"Gilham, Stephen",28y 315d,111 (63-1-47 57.21%),4 (0.04),12 (0-0-12 0.00%),
2,"Hampton, Curtly",20y 126d,28 (1-0-27 3.57%),7 (0.25),←,
19,"Haynes, Nick",21y 57d,13 (0-0-13 0.00%),1 (0.08),←,
33,"Hoskin-Elliott, Will",19y 315d,17 (1-0-16 5.88%),12 (0.71),←,
39,"Mohr, Tim",24y 268d,28 (1-0-27 3.57%),1 (0.04),←,
37,"OhAilpin, Setanta",30y 118d,88 (33-1-54 38.07%),82 (0.93),8 (0-0-8 0.00%),15 (1.88)
24,"ORourke, Jonathan",19y 84d,1 (0-0-1 0.00%),,←,
7,"Palmer, Rhys",24y 151d,79 (22-0-57 27.85%),41 (0.52),26 (1-0-25 3.85%),18 (0.69)
9,"Scully, Tom",22y 60d,65 (15-1-49 23.85%),18 (0.28),34 (2-0-32 5.88%),12 (0.35)
5,"Shiel, Dylan",20y 127d,27 (1-0-26 3.70%),13 (0.48),←,
10,"Smith, Devon",20y 55d,34 (2-0-32 5.88%),21 (0.62),←,
17,"Treloar, Adam",20y 127d,32 (2-0-30 6.25%),20 (0.63),←,
29,"Tyson, Dom",20y 36d,11 (1-0-10 9.09%),4 (0.36),←,
8,"Ward, Callan",23y 95d,95 (34-0-61 35.79%),48 (0.51),35 (2-0-33 5.71%),15 (0.43)
6,"Whitfield, Lachie",18y 361d,14 (0-0-14 0.00%),4 (0.29),←,
Totals,Totals,21y 338d,811 (195-3-613 24.04%),386 (0.48),,
C,"Sheedy, Kevin",65y 202d,671 (388-6-277 58.27%),,37 (2-0-35 5.41%),
