Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
46,"Addison, Dylan",26y 173d,90 (46-1-43 51.67%),30 (0.33),2 (1-0-1 50.00%),
14,"Bugg, Tomas",20y 358d,34 (4-0-30 11.76%),9 (0.26),←,
18,"Cameron, Jeremy",20y 362d,39 (4-0-35 10.26%),96 (2.46),←,
3,"Coniglio, Stephen",20y 104d,32 (4-0-28 12.50%),9 (0.28),←,
48,"Frost, Sam",20y 213d,7 (2-0-5 28.57%),2 (0.29),←,
26,"Giles, Jonathan",26y 80d,44 (4-0-40 9.09%),36 (0.82),←,
4,"Greene, Toby",20y 185d,40 (4-0-36 10.00%),13 (0.32),←,
2,"Hampton, Curtly",21y 19d,37 (3-0-34 8.11%),9 (0.24),←,
19,"Haynes, Nick",21y 315d,21 (2-0-19 9.52%),1 (0.05),←,
32,"Hunt, Josh",32y 15d,200 (135-1-64 67.75%),29 (0.14),2 (1-0-1 50.00%),
22,"Kelly, Josh",19y 45d,1 (0-0-1 0.00%),,←,
40,"Kennedy, Adam",21y 260d,36 (4-0-32 11.11%),2 (0.06),←,
41,"Mumford, Shane",27y 267d,102 (70-2-30 69.61%),40 (0.39),2 (1-0-1 50.00%),1 (0.50)
12,"Patton, Jonathon",20y 313d,12 (2-0-10 16.67%),12 (1.00),←,
30,"Plowman, Lachie",19y 199d,7 (0-0-7 0.00%),1 (0.14),←,
9,"Scully, Tom",22y 318d,73 (17-1-55 23.97%),22 (0.30),42 (4-0-38 9.52%),16 (0.38)
23,"Shaw, Heath",28y 122d,175 (111-2-62 64.00%),37 (0.21),2 (1-0-1 50.00%),
10,"Smith, Devon",20y 313d,40 (4-0-36 10.00%),32 (0.80),←,
31,"Townsend, Jacob",20y 282d,20 (2-0-18 10.00%),3 (0.15),←,
17,"Treloar, Adam",21y 20d,40 (4-0-36 10.00%),21 (0.52),←,
8,"Ward, Callan",23y 353d,103 (36-0-67 34.95%),53 (0.51),43 (4-0-39 9.30%),20 (0.47)
6,"Whitfield, Lachie",19y 254d,21 (2-0-19 9.52%),10 (0.48),←,
Totals,Totals,22y 224d,1174 (460-7-707 39.18%),467 (0.40),,
C,"Cameron, Leon",41y 208d,2 (1-0-1 50.00%),,←,
