Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
29,"Beaumont, Simon",24y 221d,79 (48-0-31 60.76%),55 (0.70),←,
21,"Bradley, Craig",36y 272d,331 (203-2-126 61.63%),224 (0.68),←,
20,"Brown, Fraser",29y 338d,173 (98-1-74 56.94%),96 (0.55),←,
16,"Camporeale, Scott",24y 345d,124 (79-0-45 63.71%),117 (0.94),←,
32,"Culpitt, Heath",22y 156d,9 (4-0-5 44.44%),5 (0.56),←,
31,"Fletcher, Simon",21y 339d,29 (21-0-8 72.41%),17 (0.59),←,
45,"Franchina, Anthony",22y 284d,50 (30-0-20 60.00%),20 (0.40),←,
17,"Freeborn, Scott",22y 62d,13 (10-0-3 76.92%),8 (0.62),←,
4,"Hamill, Aaron",22y 336d,88 (47-0-41 53.41%),104 (1.18),←,
37,"Hotton, Trent",26y 233d,37 (19-0-18 51.35%),32 (0.86),20 (15-0-5 75.00%),18 (0.90)
33,"Houlihan, Ryan",18y 182d,8 (6-0-2 75.00%),4 (0.50),←,
27,"Hulme, Darren",23y 11d,53 (26-0-27 49.06%),27 (0.51),←,
43,"Koutoufides, Anthony",27y 185d,168 (102-1-65 61.01%),139 (0.83),←,
12,"Lappin, Matthew",24y 155d,99 (55-1-43 56.06%),85 (0.86),44 (27-0-17 61.36%),59 (1.34)
22,"Manton, Glenn",27y 50d,135 (81-0-54 60.00%),34 (0.25),114 (70-0-44 61.40%),30 (0.26)
5,"McKay, Andrew",30y 7d,174 (108-1-65 62.36%),26 (0.15),←,
26,"OReilly, Stephen",27y 255d,145 (61-0-84 42.07%),21 (0.14),11 (6-0-5 54.55%),1 (0.09)
11,"Porter, Mark",23y 284d,28 (12-0-16 42.86%),6 (0.21),←,
7,"Ratten, Brett",29y 10d,209 (124-0-85 59.33%),79 (0.38),←,
23,"Rice, Dean",32y 126d,219 (107-1-111 49.09%),85 (0.39),103 (62-0-41 60.19%),42 (0.41)
1,"Silvagni, Stephen",33y 51d,288 (183-1-104 63.72%),186 (0.65),←,
8,"Whitnall, Lance",20y 333d,86 (47-0-39 54.65%),183 (2.13),←,
Totals,Totals,26y 10d,2545 (1471-8-1066 57.80%),1553 (0.61),,
C,"Parkin, David",57y 313d,513 (304-2-207 59.45%),,350 (217-2-131 62.29%),
