Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Bassett, Nathan",9,4,10,19,,,,,1.0,1.0,1.0,,,,3.0,4.0,14.0,1.0,,4.0,1.0,,100.0
35,"Biglands, Rhett",7,1,1,8,,,17.0,3.0,,3.0,1.0,4.0,1.0,,,3.0,5.0,,,,,,39.0
44,"Bock, Nathan",10,3,4,14,,,,2.0,2.0,4.0,,3.0,,3.0,,4.0,9.0,3.0,,7.0,1.0,,100.0
24,"Burton, Brett",7,6,4,11,1,2.0,1.0,1.0,,2.0,,,1.0,,,4.0,7.0,1.0,2.0,2.0,,,32.0
11,"Doughty, Michael",1,1,6,7,,,,,,1.0,1.0,1.0,,1.0,,2.0,5.0,,,1.0,,,50.0
9,"Edwards, Tyson",14,5,9,23,,,,3.0,1.0,2.0,5.0,5.0,,1.0,,8.0,16.0,,,1.0,2.0,1.0,99.0
36,"Goodwin, Simon",15,9,16,31,,1.0,,4.0,4.0,4.0,1.0,3.0,1.0,,,7.0,23.0,1.0,1.0,2.0,2.0,1.0,100.0
34,"Hart, Ben",7,1,9,16,,,,2.0,6.0,1.0,,4.0,,,,4.0,11.0,,,1.0,2.0,,100.0
13,"Hudson, Ben",5,3,12,17,,,15.0,1.0,4.0,1.0,4.0,1.0,,,,11.0,6.0,1.0,,3.0,,,71.0
30,"Jericho, Luke",2,2,3,5,,,,1.0,,2.0,,2.0,,1.0,,2.0,4.0,,,1.0,,1.0,59.0
39,"Mattner, Martin",5,6,15,20,,,,4.0,1.0,2.0,2.0,2.0,2.0,,,7.0,14.0,,,7.0,3.0,,100.0
16,"McGregor, Ken",3,4,6,9,1,,,4.0,,1.0,,3.0,1.0,1.0,,6.0,3.0,2.0,1.0,3.0,,,90.0
23,"McLeod, Andrew",11,3,5,16,,,,3.0,8.0,1.0,,2.0,,1.0,,1.0,15.0,,,2.0,2.0,,100.0
22,"Perrie, Ian",8,4,7,15,1,1.0,,2.0,,3.0,,1.0,1.0,,,5.0,9.0,2.0,1.0,2.0,,,83.0
33,"Reilly, Brent",8,2,8,16,,,,3.0,2.0,2.0,1.0,1.0,1.0,,,5.0,10.0,,,,,1.0,68.0
32,"Ricciuto, Mark",9,2,11,20,,2.0,,4.0,2.0,4.0,,2.0,,,,3.0,17.0,,,,,,78.0
25,"Rutten, Ben",9,,10,19,,,,,5.0,1.0,,1.0,2.0,,,7.0,11.0,,,6.0,,,100.0
12,"Shirley, Robert",6,2,13,19,,,,6.0,1.0,,4.0,,,,,9.0,8.0,,,3.0,,,87.0
14,"Skipworth, Hayden",7,5,13,20,2,1.0,,5.0,1.0,1.0,2.0,1.0,1.0,,,6.0,15.0,,,,,,85.0
5,"Thompson, Scott",20,9,14,34,3,,,3.0,1.0,6.0,,5.0,5.0,4.0,,12.0,20.0,,1.0,2.0,1.0,1.0,100.0
15,"Torney, Jason",4,3,10,14,,,,4.0,1.0,1.0,,,1.0,,,2.0,12.0,,,3.0,,1.0,100.0
17,"Welsh, Scott",2,2,1,3,,1.0,,,,,,,,,,1.0,2.0,,1.0,1.0,,,58.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,169,77,187,356,8,9.0,33.0,55.0,40.0,43.0,22.0,41.0,17.0,12.0,3.0,113.0,236.0,11.0,7.0,51.0,14.0,6.0,
Opposition,Opposition,209,109,159,368,9,7.0,22.0,48.0,42.0,51.0,34.0,54.0,12.0,17.0,3.0,123.0,246.0,14.0,8.0,42.0,13.0,4.0,
