Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
13,"Boyd, Tom",18y 247d,2 (0-0-2 0.00%),,←,
14,"Bugg, Tomas",21y 21d,38 (5-0-33 13.16%),9 (0.24),←,
18,"Cameron, Jeremy",21y 25d,43 (5-0-38 11.63%),107 (2.49),←,
3,"Coniglio, Stephen",20y 132d,36 (5-0-31 13.89%),11 (0.31),←,
48,"Frost, Sam",20y 241d,11 (3-0-8 27.27%),2 (0.18),←,
26,"Giles, Jonathan",26y 108d,48 (5-0-43 10.42%),37 (0.77),←,
2,"Hampton, Curtly",21y 47d,41 (4-0-37 9.76%),10 (0.24),←,
19,"Haynes, Nick",21y 343d,25 (3-0-22 12.00%),2 (0.08),←,
33,"Hoskin-Elliott, Will",20y 236d,23 (2-0-21 8.70%),14 (0.61),←,
32,"Hunt, Josh",32y 43d,204 (136-1-67 66.91%),29 (0.14),6 (2-0-4 33.33%),
40,"Kennedy, Adam",21y 288d,40 (5-0-35 12.50%),4 (0.10),←,
11,"Lamb, Jed",21y 189d,15 (9-0-6 60.00%),12 (0.80),3 (0-0-3 0.00%),3 (1.00)
24,"ORourke, Jonathan",20y 5d,2 (0-0-2 0.00%),,←,
12,"Patton, Jonathon",20y 341d,16 (3-0-13 18.75%),18 (1.13),←,
30,"Plowman, Lachie",19y 227d,11 (1-0-10 9.09%),1 (0.09),←,
9,"Scully, Tom",22y 346d,77 (18-1-58 24.03%),23 (0.30),46 (5-0-41 10.87%),17 (0.37)
23,"Shaw, Heath",28y 150d,178 (112-2-64 63.48%),37 (0.21),5 (2-0-3 40.00%),
10,"Smith, Devon",20y 341d,43 (5-0-38 11.63%),33 (0.77),←,
20,"Tomlinson, Adam",20y 259d,29 (1-0-28 3.45%),9 (0.31),←,
17,"Treloar, Adam",21y 48d,44 (5-0-39 11.36%),23 (0.52),←,
8,"Ward, Callan",24y 16d,107 (37-0-70 34.58%),54 (0.50),47 (5-0-42 10.64%),21 (0.45)
29,"Williams, Zac",19y 218d,13 (1-0-12 7.69%),2 (0.15),←,
Totals,Totals,22y 27d,1046 (365-4-677 34.89%),437 (0.42),,
C,"Cameron, Leon",41y 236d,6 (2-0-4 33.33%),,←,
