Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",21,6,13,34,2,,,4.0,,,,,3.0,2.0,,,,,,,,,
30,"Bourke, Damian",10,5,3,13,,,11.0,,,,,,,1.0,,,,,,,,,
11,"Buckley, Nathan",10,1,1,11,,1.0,,3.0,,,,,2.0,1.0,,,,,,,,,
1,"Champion, Richard",14,7,9,23,,,,3.0,,,,,4.0,1.0,,,,,,,,,
5,"Chapman, Nathan",13,3,5,18,,,1.0,3.0,,,,,2.0,,,,,,,,,,
6,"Fletcher, Adrian",17,6,16,33,,,,1.0,,,,,3.0,3.0,1.0,,,,,,,,
4,"Gastev, John",6,3,8,14,,,,2.0,,,,,1.0,2.0,,,,,,,,,
32,"Hart, Shaun",18,7,5,23,2,,,5.0,,,,,2.0,,,,,,,,,,
41,"Kennedy, Matthew",10,2,4,14,,,2.0,,,,,,1.0,1.0,,,,,,,,,
31,"McCormack, Brendan",11,4,10,21,1,1.0,,1.0,,,,,1.0,3.0,,,,,,,,,
7,"McIvor, Scott",10,5,5,15,3,1.0,2.0,2.0,,,,,2.0,1.0,,,,,,,,,
19,"McLean, Michael",9,1,,9,,,,,,,,,,3.0,,,,,,,,,
40,"McLuckie, Steven",20,7,10,30,,,,2.0,,,,,1.0,,,,,,,,,,
21,"Parker, John",6,1,5,11,,2.0,,1.0,,,,,2.0,1.0,,,,,,,,,
8,"Peos, Paul",9,2,4,13,,3.0,,1.0,,,,,,2.0,,,,,,,,,
15,"Spargo, Paul",19,5,4,23,1,,,,,,,,2.0,2.0,,,,,,,,,
3,"Voss, Michael",11,6,6,17,1,,,4.0,,,,,1.0,,,,,,,,,,
33,"White, Darryl",7,3,9,16,,,4.0,3.0,,,,,1.0,1.0,,,,,,,,,
28,"Windsor, Ray",11,4,3,14,3,4.0,,1.0,,,,,,,,,,,,,,,
18,"Worsfold, Peter",15,1,5,20,2,,,2.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,247,79,125,372,15,14.0,20.0,38.0,,,,,28.0,25.0,1.0,,,,,,,,
Opposition,Opposition,226,73,107,333,22,14.0,29.0,20.0,,,,,25.0,28.0,5.0,,,,,,,,
