Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",28y 189d,228 (125-0-103 54.82%),216 (0.95),←,
29,"Bramble, Lachlan",26y 42d,42 (15-2-25 38.10%),3 (0.07),12 (6-0-6 50.00%),1 (0.08)
31,"Dale, Bailey",27y 314d,143 (77-0-66 53.85%),81 (0.57),←,
35,"Daniel, Caleb",27y 329d,184 (100-0-84 54.35%),48 (0.26),←,
10,"Darcy, Sam",20y 317d,18 (8-0-10 44.44%),25 (1.39),←,
15,"Duryea, Taylor",33y 37d,202 (131-1-70 65.10%),25 (0.12),84 (49-0-35 58.33%),4 (0.05)
44,"English, Tim",26y 295d,120 (65-0-55 54.17%),70 (0.58),←,
27,"Freijah, Joel",18y 199d,4 (3-0-1 75.00%),,←,
12,"Gallagher, Harvey",20y 248d,12 (6-0-6 50.00%),6 (0.50),←,
38,"Garcia, Riley",23y 122d,26 (13-0-13 50.00%),12 (0.46),←,
22,"Harmes, James",28y 239d,160 (86-0-74 53.75%),85 (0.53),8 (4-0-4 50.00%),7 (0.88)
19,"Jones, Liam",33y 97d,191 (73-0-118 38.22%),84 (0.44),96 (43-0-53 44.79%),68 (0.71)
42,"Keath, Alex",32y 132d,108 (63-1-44 58.80%),5 (0.05),78 (47-0-31 60.26%),4 (0.05)
7,"Lobb, Rory",31y 112d,164 (89-2-73 54.88%),169 (1.03),24 (13-0-11 54.17%),26 (1.08)
11,"Macrae, Jack",29y 302d,240 (127-0-113 52.92%),57 (0.24),←,
30,"McNeil, Lachlan",23y 112d,44 (29-0-15 65.91%),21 (0.48),←,
18,"ODonnell, James",21y 274d,19 (9-0-10 47.37%),1 (0.05),←,
9,"Sanders, Ryley",19y 131d,8 (4-0-4 50.00%),,←,
1,"Treloar, Adam",31y 83d,243 (110-1-132 45.47%),143 (0.59),70 (40-0-30 57.14%),46 (0.66)
2,"Ugle-Hagan, Jamarra",22y 57d,55 (28-0-27 50.91%),78 (1.42),←,
23,"Vandermeer, Laitham",25y 118d,56 (29-0-27 51.79%),29 (0.52),←,
14,"West, Rhylee",23y 324d,48 (27-0-21 56.25%),33 (0.69),←,
34,"Williams, Bailey",26y 234d,139 (74-0-65 53.24%),32 (0.23),←,
Totals,Totals,26y 76d,2454 (1291-7-1156 52.61%),1223 (0.50),,
C,"Beveridge, Luke",53y 282d,218 (122-0-96 55.96%),,←,
