Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
23,"Dyson, Kevin",28y 52d,64 (34-0-30 53.13%),25 (0.39),←,
20,"Febey, Matthew",25y 310d,62 (31-0-31 50.00%),21 (0.34),←,
21,"Febey, Steven",25y 310d,145 (80-0-65 55.17%),21 (0.14),←,
32,"Gaspar, Damien",20y 89d,3 (3-0-0 100.00%),,←,
15,"Hopgood, Paul",21y 339d,30 (19-0-11 63.33%),2 (0.07),←,
7,"Kowal, Darren",23y 7d,42 (24-0-18 57.14%),27 (0.64),←,
16,"Lovell, Andy",24y 332d,111 (55-1-55 50.00%),128 (1.15),←,
17,"Lovett, Brett",29y 36d,187 (107-1-79 57.49%),34 (0.18),←,
6,"Lovett, Glenn",25y 337d,87 (40-0-47 45.98%),56 (0.64),←,
3,"Lyon, Garry",27y 285d,182 (105-1-76 57.97%),325 (1.79),←,
28,"Molloy, Glenn",23y 285d,13 (7-0-6 53.85%),4 (0.31),←,
9,"Neitz, David",20y 154d,56 (28-0-28 50.00%),31 (0.55),←,
4,"Obst, Andrew",30y 310d,99 (56-0-43 56.57%),47 (0.47),←,
19,"Prymke, Paul",24y 199d,35 (17-0-18 48.57%),2 (0.06),←,
24,"Sampson, Clay",19y 121d,1 (1-0-0 100.00%),,←,
10,"Seecamp, Marcus",22y 333d,63 (23-0-40 36.51%),13 (0.21),12 (5-0-7 41.67%),3 (0.25)
29,"Smith, Shaun",26y 3d,59 (32-1-26 55.08%),65 (1.10),12 (5-0-7 41.67%),27 (2.25)
11,"Stynes, Jim",29y 63d,190 (107-1-82 56.58%),114 (0.60),←,
2,"Tingay, Stephen",24y 316d,113 (62-0-51 54.87%),51 (0.45),←,
12,"Viney, Todd",29y 87d,153 (80-1-72 52.61%),60 (0.39),←,
27,"Wight, Sean",31y 102d,141 (77-0-64 54.61%),63 (0.45),←,
Totals,Totals,25y 176d,1836 (988-6-842 53.81%),1089 (0.59),,
C,"Balme, Neil",43y 161d,57 (29-0-28 50.88%),,←,
