Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",29y 147d,241 (134-0-107 55.60%),234 (0.97),←,
29,"Bramble, Lachlan",27y 1d,60 (26-2-32 45.00%),5 (0.08),30 (17-0-13 56.67%),3 (0.10)
36,"Cleary, Luke",23y 46d,10 (8-0-2 80.00%),,←,
31,"Dale, Bailey",28y 272d,161 (88-0-73 54.66%),85 (0.53),←,
10,"Darcy, Sam",21y 275d,34 (18-0-16 52.94%),55 (1.62),←,
42,"Davidson, Sam",23y 128d,6 (3-0-3 50.00%),2 (0.33),←,
26,"Dolan, Josh",18y 160d,6 (3-0-3 50.00%),1 (0.17),←,
44,"English, Tim",27y 253d,137 (75-0-62 54.74%),77 (0.56),←,
27,"Freijah, Joel",19y 157d,19 (12-0-7 63.16%),6 (0.32),←,
6,"Hynes, Cooper",19y 51d,2 (1-0-1 50.00%),,←,
39,"Johannisen, Jason",32y 163d,198 (103-0-95 52.02%),76 (0.38),←,
19,"Jones, Liam",34y 55d,204 (81-0-123 39.71%),84 (0.41),109 (51-0-58 46.79%),68 (0.62)
8,"Kennedy, Matthew",28y 14d,124 (59-3-62 48.79%),62 (0.50),6 (3-0-3 50.00%),5 (0.83)
24,"Khamis, Buku",25y 27d,32 (18-0-14 56.25%),7 (0.22),←,
21,"Liberatore, Tom",32y 339d,240 (119-0-121 49.58%),88 (0.37),←,
7,"Lobb, Rory",32y 70d,182 (100-2-80 55.49%),172 (0.95),42 (24-0-18 57.14%),29 (0.69)
30,"McNeil, Lachlan",24y 70d,60 (38-0-22 63.33%),32 (0.53),←,
33,"Naughton, Aaron",25y 141d,149 (82-0-67 55.03%),237 (1.59),←,
18,"ODonnell, James",22y 232d,31 (16-0-15 51.61%),6 (0.19),←,
20,"Richards, Ed",25y 291d,131 (69-0-62 52.67%),38 (0.29),←,
9,"Sanders, Ryley",20y 89d,20 (11-0-9 55.00%),7 (0.35),←,
14,"West, Rhylee",24y 282d,64 (37-0-27 57.81%),53 (0.83),←,
34,"Williams, Bailey",27y 192d,157 (85-0-72 54.14%),40 (0.25),←,
Totals,Totals,25y 293d,2268 (1186-7-1075 52.29%),1367 (0.60),,
C,"Beveridge, Luke",54y 240d,236 (133-0-103 56.36%),,←,
