Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
37,"Austin, Matt",20y 159d,7 (6-0-1 85.71%),2 (0.29),←,
20,"Black, Simon",30y 155d,255 (152-4-99 60.39%),153 (0.60),←,
36,"Bradshaw, Daniel",30y 288d,221 (125-3-93 57.24%),493 (2.23),218 (122-3-93 56.65%),493 (2.26)
17,"Brennan, Jared",25y 39d,100 (50-3-47 51.50%),66 (0.66),←,
16,"Brown, Jonathan",27y 311d,183 (116-3-64 64.21%),420 (2.30),←,
1,"Clark, Mitch",21y 321d,45 (22-2-21 51.11%),25 (0.56),←,
5,"Harding, Scott",23y 78d,48 (26-3-19 57.29%),15 (0.31),←,
12,"Hawksley, James",20y 212d,10 (5-1-4 55.00%),,←,
33,"Hooper, Rhan",21y 239d,47 (23-1-23 50.00%),49 (1.04),←,
4,"Johnstone, Travis",29y 50d,193 (95-1-97 49.48%),134 (0.69),33 (17-0-16 51.52%),23 (0.70)
9,"McGrath, Ashley",26y 108d,136 (76-2-58 56.62%),105 (0.77),←,
21,"Merrett, Daniel",24y 267d,86 (39-3-44 47.09%),17 (0.20),←,
24,"Patfull, Joel",24y 272d,77 (36-3-38 48.70%),19 (0.25),←,
31,"Polkinghorne, James",20y 227d,23 (14-1-8 63.04%),15 (0.65),←,
6,"Power, Luke",29y 240d,240 (141-3-96 59.38%),198 (0.82),←,
30,"Redden, Jack",18y 270d,9 (6-1-2 72.22%),5 (0.56),←,
10,"Rich, Daniel",19y 90d,23 (14-1-8 63.04%),14 (0.61),←,
35,"Rischitelli, Michael",23y 240d,88 (42-3-43 49.43%),40 (0.45),←,
29,"Roe, Jason",25y 176d,50 (23-1-26 47.00%),7 (0.14),←,
3,"Sheldon, Sam",20y 181d,18 (12-1-5 69.44%),1 (0.06),←,
11,"Sherman, Justin",22y 222d,96 (42-3-51 45.31%),73 (0.76),←,
32,"Stiller, Cheynee",23y 125d,67 (30-3-34 47.01%),17 (0.25),←,
Totals,Totals,24y 45d,2022 (1095-46-881 54.15%),1868 (0.92),,
C,"Voss, Michael",34y 60d,23 (14-1-8 63.04%),,←,
