Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
37,"Boyd, Jordan",23y 213d,3 (1-0-2 33.33%),,←,
5,"Cerra, Adam",22y 198d,81 (35-0-46 43.21%),17 (0.21),5 (3-0-2 60.00%),1 (0.20)
46,"Cottrell, Matthew",22y 54d,21 (10-0-11 47.62%),5 (0.24),←,
9,"Cripps, Patrick",27y 36d,143 (41-1-101 29.02%),77 (0.54),←,
30,"Curnow, Charlie",25y 79d,68 (15-0-53 22.06%),95 (1.40),←,
12,"De Koning, Tom",22y 281d,27 (11-0-16 40.74%),9 (0.33),←,
15,"Docherty, Sam",28y 188d,128 (44-1-83 34.77%),15 (0.12),115 (38-1-76 33.48%),14 (0.12)
19,"Durdin, Corey",20y 9d,7 (4-0-3 57.14%),5 (0.71),←,
25,"Fisher, Zac",23y 312d,79 (20-0-59 25.32%),36 (0.46),←,
29,"Hewett, George",26y 115d,126 (75-0-51 59.52%),34 (0.27),6 (4-0-2 66.67%),2 (0.33)
21,"Martin, Jack",27y 84d,128 (38-1-89 30.08%),105 (0.82),31 (13-0-18 41.94%),24 (0.77)
10,"McKay, Harry",24y 120d,73 (25-0-48 34.25%),142 (1.95),←,
24,"Newman, Nic",29y 98d,73 (36-0-37 49.32%),14 (0.19),42 (16-0-26 38.10%),6 (0.14)
32,"Newnes, Jack",29y 58d,193 (70-2-121 36.79%),72 (0.37),38 (15-0-23 39.47%),17 (0.45)
44,"Owies, Matthew",25y 35d,20 (11-0-9 55.00%),19 (0.95),←,
26,"Parks, Luke",21y 5d,8 (4-0-4 50.00%),,←,
27,"Pittonet, Marc",25y 324d,38 (18-0-20 47.37%),5 (0.13),31 (13-0-18 41.94%),5 (0.16)
42,"Saad, Adam",27y 274d,136 (54-2-80 40.44%),10 (0.07),27 (11-0-16 40.74%),2 (0.07)
43,"Setterfield, Will",24y 77d,50 (20-0-30 40.00%),11 (0.22),48 (19-0-29 39.58%),11 (0.23)
18,"Walsh, Sam",21y 295d,66 (25-0-41 37.88%),26 (0.39),←,
23,"Weitering, Jacob",24y 151d,121 (36-0-85 29.75%),10 (0.08),←,
6,"Williams, Zac",27y 215d,133 (67-0-66 50.38%),32 (0.24),20 (8-0-12 40.00%),5 (0.25)
33,"Young, Lewis",23y 124d,28 (17-0-11 60.71%),2 (0.07),4 (2-0-2 50.00%),1 (0.25)
Totals,Totals,24y 336d,1750 (677-7-1066 38.69%),741 (0.42),,
C,"Voss, Michael",46y 290d,114 (46-1-67 40.79%),,5 (3-0-2 60.00%),
