Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Bugg, Tomas",9,6.0,8.0,17,,,,3,2.0,,2.0,2.0,3.0,1.0,,3,13.0,,,3.0,,,83.0
18,"Cameron, Jeremy",11,7.0,3.0,14,4.0,4.0,,1,,2.0,,1.0,1.0,1.0,,6,7.0,2.0,6.0,1.0,,,90.0
3 ↑,"Coniglio, Stephen",7,3.0,,7,,,,2,2.0,3.0,2.0,,,,,2,4.0,,,,,1.0,18.0
1,"Davis, Phil",5,6.0,5.0,10,,,,2,1.0,2.0,,3.0,,1.0,,3,7.0,1.0,,8.0,,,83.0
48,"Frost, Sam",8,5.0,4.0,12,,,,1,1.0,,,,,,,3,8.0,,,5.0,1.0,,84.0
33,"Hoskin-Elliott, Will",7,4.0,6.0,13,1.0,2.0,,4,,3.0,2.0,1.0,1.0,,,5,8.0,1.0,1.0,2.0,,2.0,75.0
32,"Hunt, Josh",8,3.0,1.0,9,1.0,,,1,1.0,1.0,,1.0,,,,1,7.0,,,4.0,,1.0,85.0
22,"Kelly, Josh",8,2.0,10.0,18,,1.0,1.0,5,,2.0,3.0,2.0,,2.0,,6,13.0,,,2.0,,,83.0
39,"Mohr, Tim",17,11.0,2.0,19,,,,3,3.0,2.0,,,2.0,,,6,12.0,3.0,,7.0,,,96.0
41,"Mumford, Shane",4,2.0,9.0,13,,,36.0,5,,2.0,2.0,4.0,,3.0,,5,7.0,,,5.0,,2.0,91.0
7,"Palmer, Rhys",12,3.0,14.0,26,1.0,,,5,,7.0,6.0,4.0,1.0,1.0,,14,12.0,1.0,2.0,1.0,1.0,1.0,92.0
12,"Patton, Jonathon",9,5.0,2.0,11,3.0,1.0,5.0,4,,1.0,,2.0,1.0,1.0,,5,6.0,3.0,2.0,1.0,,,89.0
9,"Scully, Tom",18,6.0,12.0,30,1.0,,,4,3.0,6.0,2.0,3.0,1.0,1.0,1.0,6,23.0,,1.0,1.0,1.0,2.0,91.0
23,"Shaw, Heath",18,8.0,9.0,27,,,,1,4.0,3.0,2.0,1.0,,1.0,,6,18.0,,,2.0,3.0,,92.0
5,"Shiel, Dylan",13,4.0,14.0,27,2.0,,,5,3.0,7.0,7.0,2.0,,,,12,14.0,,,1.0,1.0,1.0,74.0
10,"Smith, Devon",12,3.0,6.0,18,,1.0,,4,,1.0,1.0,1.0,2.0,,,5,14.0,,,1.0,,,92.0
20,"Tomlinson, Adam",9,7.0,9.0,18,2.0,,,3,,3.0,2.0,1.0,1.0,1.0,,4,14.0,,1.0,2.0,,1.0,85.0
31 ↓,"Townsend, Jacob",2,,3.0,5,,1.0,,4,,,2.0,2.0,1.0,2.0,,7,,,,1.0,,,66.0
17,"Treloar, Adam",11,4.0,15.0,26,2.0,,,7,1.0,2.0,5.0,2.0,,,,10,16.0,,,,,,83.0
8,"Ward, Callan",22,7.0,9.0,31,,,1.0,7,3.0,6.0,10.0,5.0,4.0,3.0,3.0,11,18.0,,,,,,90.0
6,"Whitfield, Lachie",16,5.0,16.0,32,1.0,1.0,,1,2.0,5.0,4.0,2.0,,1.0,2.0,11,21.0,1.0,1.0,2.0,1.0,2.0,86.0
16,"Wilson, Nathan",7,3.0,2.0,9,1.0,,,1,1.0,3.0,,2.0,,2.0,,1,7.0,,,2.0,,,72.0
Totals,Totals,233,104.0,159.0,392,19.0,11.0,43.0,73,27.0,61.0,52.0,41.0,18.0,21.0,6.0,132,249.0,12.0,14.0,51.0,8.0,13.0,
Opposition,Opposition,189,87.0,123.0,312,12.0,8.0,38.0,47,37.0,41.0,30.0,41.0,21.0,18.0,,122,196.0,8.0,14.0,46.0,3.0,8.0,
