Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",12,1,6,18,1,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
17,"Bartlett, Trent",7,5,,7,,,,1.0,,,,,1.0,,,,,,,,,,
1,"Champion, Richard",10,3,4,14,1,,,,,,,,1.0,,,,,,,,,,
16,"Clarke, Matthew",12,9,3,15,1,,16.0,,,,,,2.0,5.0,2.0,,,,,,,,
14,"Dickfos, Danny",1,,3,4,,,,1.0,,,,,,,,,,,,,,,
6,"Fletcher, Adrian",19,1,6,25,,,,3.0,,,,,1.0,1.0,,,,,,,,,
8,"Gowers, Andrew",8,4,1,9,,,,,,,,,1.0,1.0,,,,,,,,,
32,"Hart, Shaun",15,3,8,23,5,2.0,,4.0,,,,,1.0,2.0,1.0,,,,,,,,
29,"Johnson, Troy",3,,1,4,,,,,,,,,,,,,,,,,,,
41,"Kennedy, Matthew",14,2,1,15,,,,1.0,,,,,1.0,2.0,,,,,,,,,
18,"Lambert, Craig",11,,20,31,1,1.0,,1.0,,,,,,1.0,,,,,,,,,
44,"Lappin, Nigel",15,4,3,18,1,3.0,,,,,,,1.0,1.0,,,,,,,,,
11,"Lynch, Alastair",13,7,2,15,4,4.0,,,,,,,1.0,1.0,,,,,,,,,
2,"McAdam, Gilbert",8,1,7,15,,1.0,,,,,,,4.0,1.0,,,,,,,,,
19,"McLean, Michael",3,2,3,6,,,,1.0,,,,,,1.0,,,,,,,,,
4,"McRae, Craig",11,1,3,14,1,,,,,,,,5.0,1.0,,,,,,,,,
24,"Merrett, Roger",8,5,1,9,2,1.0,,1.0,,,,,,5.0,,,,,,,,,
22,"Scott, Chris",10,2,5,15,,,,1.0,,,,,,3.0,,,,,,,,,
38,"Scott, Dion",9,7,,9,1,,,,,,,,,3.0,,,,,,,,,
3,"Voss, Michael",23,5,10,33,2,1.0,,,,,,,5.0,1.0,3.0,,,,,,,,
33,"White, Darryl",8,5,6,14,1,,4.0,3.0,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,220,67,93,313,21,15.0,20.0,19.0,,,,,26.0,31.0,6.0,,,,,,,,
Opposition,Opposition,179,59,76,255,7,12.0,7.0,27.0,,,,,31.0,26.0,,,,,,,,,
