West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
6,"Banfield, Drew",3,2,5,8,,,,3.0,2.0,,,3.0,,,,2.0,6.0,,,3.0,,,94.0
10,"Braun, Michael",3,1,4,7,,,,1.0,1.0,2.0,,,,,,2.0,5.0,,,,,1.0,44.0
46,"Carroll, Trent",7,2,5,12,1,,,,1.0,2.0,2.0,2.0,1.0,1.0,,5.0,8.0,,,,1.0,,76.0
17,"Chick, Daniel",11,2,1,12,1,1.0,,3.0,1.0,3.0,1.0,,,,,4.0,7.0,,,2.0,,,81.0
9,"Cousins, Ben",16,3,15,31,1,,,1.0,4.0,6.0,6.0,7.0,,2.0,1.0,21.0,12.0,,,1.0,3.0,3.0,97.0
20,"Cox, Dean",4,3,8,12,,,24.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,,7.0,5.0,1.0,,2.0,,1.0,59.0
32,"Embley, Andrew",14,6,3,17,2,1.0,,,,3.0,3.0,3.0,1.0,1.0,,4.0,12.0,,3.0,4.0,,1.0,92.0
7,"Fletcher, Chad",18,3,10,28,,1.0,,5.0,2.0,6.0,9.0,2.0,1.0,,,12.0,17.0,1.0,,1.0,2.0,,90.0
1,"Gardiner, Michael",9,6,4,13,2,,14.0,,1.0,2.0,1.0,,2.0,,,6.0,7.0,2.0,2.0,2.0,,1.0,100.0
23,"Glass, Darren",4,1,2,6,,,,3.0,3.0,,,3.0,,2.0,,3.0,3.0,1.0,,4.0,,,83.0
35,"Green, Kasey",4,4,4,8,,,,,1.0,1.0,1.0,1.0,,,,3.0,6.0,,,4.0,,,94.0
38,"Haynes, David",10,6,7,17,2,2.0,,1.0,,4.0,1.0,3.0,1.0,,,10.0,7.0,1.0,4.0,4.0,,1.0,100.0
8,"Humm, Jeremy",1,,1,2,,,,,,,,,,,,,2.0,,,,,,35.0
39,"Hunter, Adam",6,4,6,12,,,1.0,1.0,3.0,1.0,2.0,1.0,,1.0,,6.0,7.0,,,6.0,,,100.0
27,"Jakovich, Glen",3,2,5,8,,1.0,,,,3.0,,,,,,3.0,5.0,,,1.0,,,71.0
18,"Jones, Rowan",6,2,4,10,1,2.0,1.0,6.0,,4.0,1.0,,,,,5.0,5.0,1.0,2.0,1.0,,,83.0
3,"Judd, Chris",11,2,8,19,1,,,4.0,1.0,4.0,2.0,,1.0,,,9.0,10.0,,1.0,6.0,2.0,1.0,95.0
4,"Kerr, Daniel",15,4,12,27,3,,,3.0,1.0,4.0,11.0,4.0,2.0,2.0,2.0,16.0,15.0,,1.0,1.0,,,81.0
11,"McIntosh, Ashley",2,1,4,6,,,,1.0,4.0,,,3.0,,1.0,,2.0,4.0,,,5.0,,,100.0
12,"Munro, Kane",5,1,3,8,1,,,2.0,,2.0,,1.0,,,,3.0,7.0,,1.0,2.0,,1.0,48.0
28,"Sampi, Ashley",2,,4,6,,,,4.0,,,1.0,,,,,5.0,,,,3.0,,,85.0
44,"Wirrpanda, David",14,7,5,19,1,,,,3.0,6.0,1.0,1.0,1.0,1.0,,9.0,11.0,1.0,1.0,2.0,1.0,1.0,91.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,168,62,120,288,16,10.0,40.0,39.0,31.0,54.0,45.0,37.0,12.0,14.0,3.0,137.0,161.0,8.0,15.0,54.0,9.0,11.0,
Opposition,Opposition,217,93,82,299,19,14.0,19.0,69.0,33.0,60.0,35.0,34.0,14.0,12.0,3.0,130.0,162.0,9.0,20.0,30.0,9.0,14.0,
