Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",25y 205d,121 (61-2-58 51.24%),75 (0.62),←,
19,"Beveridge, Luke",23y 327d,55 (32-0-23 58.18%),53 (0.96),13 (8-0-5 61.54%),12 (0.92)
18,"Cameron, Leon",21y 317d,76 (40-1-35 53.29%),32 (0.42),←,
16,"Croft, Matthew",21y 140d,15 (8-0-7 53.33%),13 (0.87),←,
3,"Grant, Chris",21y 215d,91 (50-1-40 55.49%),194 (2.13),←,
1,"Grgic, Ilija",22y 133d,24 (14-0-10 58.33%),42 (1.75),←,
7,"Hawkins, Doug",34y 72d,322 (139-4-179 43.79%),214 (0.66),←,
10,"Hunter, Mark",28y 316d,103 (49-2-52 48.54%),6 (0.06),←,
21,"Kolyniuk, Steven",24y 11d,89 (45-1-43 51.12%),106 (1.19),←,
12,"Koster, Kym",21y 165d,14 (7-0-7 50.00%),6 (0.43),←,
35,"Kretiuk, Steven",22y 12d,32 (20-0-12 62.50%),8 (0.25),←,
39,"Liberatore, Tony",28y 155d,119 (67-1-51 56.72%),65 (0.55),←,
27,"Macpherson, Stephen",29y 226d,172 (86-3-83 50.87%),150 (0.87),←,
44,"Osborne, Richard",30y 30d,212 (87-0-125 41.04%),467 (2.20),9 (6-0-3 66.67%),17 (1.89)
5,"Smith, Rohan",21y 46d,28 (19-0-9 67.86%),19 (0.68),←,
8,"Southern, Daniel",19y 196d,15 (8-0-7 53.33%),3 (0.20),←,
17,"Standfield, Barry",24y 153d,65 (37-0-28 56.92%),28 (0.43),←,
24,"Wallis, Stephen",29y 262d,219 (117-2-100 53.88%),52 (0.24),←,
25,"Watts, Jason",22y 352d,15 (8-0-7 53.33%),2 (0.13),←,
14,"West, Scott",19y 244d,31 (17-0-14 54.84%),25 (0.81),←,
15,"Wynd, Scott",24y 172d,107 (55-1-51 51.87%),22 (0.21),←,
Totals,Totals,24y 231d,1925 (966-18-941 50.18%),1582 (0.82),,
C,"Joyce, Alan",51y 268d,106 (74-0-32 69.81%),,13 (7-0-6 53.85%),
