Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",6,1,5,11,1,1.0,,,,,,,,,,,,,,,,,
22,"Bain, David",17,4,5,22,1,,,1.0,,,,,2.0,2.0,,,,,,,,,
23,"Caton, Kevin",7,1,1,8,,4.0,,1.0,,,,,,1.0,,,,,,,,,
4,"Gastev, John",11,2,9,20,2,,,2.0,,,,,2.0,,,,,,,,,,
5,"Hardie, Brad",10,5,6,16,1,4.0,,,,,,,1.0,,,,,,,,,,
9,"Ishchenko, Alex",1,2,1,2,,,8.0,,,,,,,3.0,,,,,,,,,
41,"Kennedy, Matthew",8,2,4,12,,,,2.0,,,,,,1.0,,,,,,,,,
36,"Kennedy, Michael",9,4,5,14,,,,1.0,,,,,2.0,,,,,,,,,,
17,"Leslie, Martin",12,5,6,18,,,1.0,1.0,,,,,2.0,3.0,,,,,,,,,
16,"Lester-Smith, Rod",6,2,6,12,,,,1.0,,,,,1.0,,,,,,,,,,
7,"McIvor, Scott",9,1,9,18,,,,1.0,,,,,,2.0,,,,,,,,,
24,"Merrett, Roger",7,7,6,13,2,3.0,,1.0,,,,,,,,,,,,,,,
31,"OKeeffe, David",6,3,4,10,1,3.0,,1.0,,,,,1.0,2.0,,,,,,,,,
11,"Phillips, Brenton",4,1,5,9,1,,,1.0,,,,,,1.0,,,,,,,,,
8,"Richardson, Michael",14,4,6,20,1,,,,,,,,1.0,1.0,,,,,,,,,
42,"Solomon, Jonathan",1,1,2,3,,,2.0,3.0,,,,,1.0,,,,,,,,,,
14,"Umbers, Richard",7,4,5,12,,3.0,,1.0,,,,,1.0,,,,,,,,,,
18,"Walsh, Phil",12,2,4,16,,1.0,,,,,,,2.0,3.0,,,,,,,,,
37,"Withers, Mark",12,2,11,23,1,,,3.0,,,,,2.0,1.0,,,,,,,,,
21,"Zanotti, Mark",23,5,5,28,,2.0,,,,,,,3.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,182,58,105,287,11,23.0,11.0,20.0,,,,,21.0,22.0,,,,,,,,,
Opposition,Opposition,184,66,106,290,24,14.0,28.0,30.0,,,,,22.0,21.0,6.0,,,,,,,,
