Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
32,"Bell, Peter",27y 154d,184 (106-0-78 57.61%),164 (0.89),61 (22-0-39 36.07%),44 (0.72)
9,"Carr, Matthew",24y 216d,87 (28-1-58 32.76%),39 (0.45),59 (21-0-38 35.59%),37 (0.63)
10,"Cook, Troy",26y 355d,127 (54-0-73 42.52%),57 (0.45),84 (30-0-54 35.71%),46 (0.55)
24,"Croad, Trent",23y 146d,119 (62-1-56 52.52%),138 (1.16),35 (18-0-17 51.43%),58 (1.66)
33,"Farmer, Jeff",26y 39d,153 (69-0-84 45.10%),308 (2.01),35 (17-0-18 48.57%),49 (1.40)
42,"Haddrill, Robert",22y 186d,26 (13-0-13 50.00%),,←,
4,"Hasleby, Paul",22y 51d,81 (29-0-52 35.80%),60 (0.74),←,
43,"Hayden, Roger",22y 236d,21 (12-0-9 57.14%),,←,
11,"Headland, Des",22y 193d,69 (50-0-19 72.46%),66 (0.96),17 (10-0-7 58.82%),14 (0.82)
20,"Longmuir, Justin",22y 193d,74 (26-0-48 35.14%),102 (1.38),←,
21,"Longmuir, Troy",24y 69d,58 (17-0-41 29.31%),25 (0.43),41 (12-0-29 29.27%),22 (0.54)
8,"McManus, Shaun",27y 174d,141 (48-0-93 34.04%),67 (0.48),←,
18,"McPharlin, Luke",21y 244d,30 (16-0-14 53.33%),10 (0.33),18 (8-0-10 44.44%),7 (0.39)
34,"Medhurst, Paul",21y 234d,38 (19-0-19 50.00%),71 (1.87),←,
23,"Parker, Shane",30y 165d,158 (53-0-105 33.54%),9 (0.06),←,
29,"Pavlich, Matthew",21y 214d,79 (28-0-51 35.44%),80 (1.01),←,
12,"Polak, Graham",19y 47d,23 (14-0-9 60.87%),,←,
31,"Sandilands, Aaron",20y 239d,14 (10-0-4 71.43%),4 (0.29),←,
3,"Schammer, Byron",18y 42d,14 (9-0-5 64.29%),2 (0.14),←,
2,"Simmonds, Troy",25y 20d,77 (38-0-39 49.35%),27 (0.35),37 (18-0-19 48.65%),20 (0.54)
19,"Walker, James",24y 199d,93 (32-0-61 34.41%),9 (0.10),←,
6,"Woods, Dion",21y 189d,34 (15-0-19 44.12%),4 (0.12),←,
Totals,Totals,23y 180d,1700 (748-2-950 44.00%),1242 (0.73),,
C,"Connolly, Chris",40y 130d,41 (21-0-20 51.22%),,40 (20-0-20 50.00%),
