Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
3,"Bartel, Jimmy",31y 275d,283 (197-3-83 70.14%),191 (0.67),←,
46,"Blicavs, Mark",24y 161d,66 (43-1-22 65.91%),16 (0.24),←,
5,"Cockatoo, Nakia",18y 317d,11 (5-1-5 50.00%),3 (0.27),←,
18,"Cowan, Josh",24y 173d,5 (5-0-0 100.00%),2 (0.40),←,
44,"Enright, Corey",33y 356d,309 (203-3-103 66.18%),62 (0.20),←,
28,"Gregson, Cory",19y 1d,20 (10-1-9 52.50%),13 (0.65),←,
29,"Guthrie, Cameron",23y 17d,85 (56-1-28 66.47%),23 (0.27),←,
26,"Hawkins, Tom",27y 46d,166 (124-1-41 75.00%),332 (2.00),←,
33,"Horlin-Smith, George",22y 257d,39 (28-1-10 73.08%),20 (0.51),←,
20,"Johnson, Steve",32y 63d,253 (178-3-72 70.95%),452 (1.79),←,
9,"Kelly, James",31y 250d,273 (185-1-87 67.95%),88 (0.32),←,
8,"Kolodjashnij, Jake",20y 27d,9 (5-1-3 61.11%),,←,
13,"Lonergan, Tom",31y 111d,164 (119-2-43 73.17%),54 (0.33),←,
4,"Mackie, Andrew",31y 29d,235 (176-1-58 75.11%),96 (0.41),←,
10,"Menzel, Daniel",23y 357d,23 (19-0-4 82.61%),36 (1.57),←,
32,"Motlop, Steven",24y 177d,88 (57-1-30 65.34%),115 (1.31),←,
14,"Selwood, Joel",27y 102d,204 (157-1-46 77.21%),129 (0.63),←,
27,"Stokes, Mathew",30y 287d,189 (143-0-46 75.66%),203 (1.07),←,
7,"Taylor, Harry",29y 85d,180 (135-1-44 75.28%),41 (0.23),←,
40,"Thurlow, Jackson",21y 161d,29 (16-1-12 56.90%),6 (0.21),←,
30,"Vardy, Nathan",24y 72d,24 (16-1-7 68.75%),24 (1.00),←,
34,"Walker, Josh",22y 297d,33 (19-1-13 59.09%),35 (1.06),←,
Totals,Totals,26y 65d,2688 (1896-26-766 70.54%),1941 (0.72),,
C,"Scott, Chris",39y 125d,118 (84-1-33 71.61%),,←,
