Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
8,"Bassett, Nathan",24y 178d,54 (24-0-30 44.44%),6 (0.11),←,
25,"Beinke, Bryan",25y 302d,25 (14-0-11 56.00%),30 (1.20),←,
26,"Bickley, Mark",31y 303d,215 (105-0-110 48.84%),67 (0.31),←,
24,"Burton, Brett",23y 30d,35 (14-0-21 40.00%),42 (1.20),←,
4,"Clarke, Matthew",27y 258d,148 (69-2-77 47.30%),22 (0.15),18 (7-0-11 38.89%),3 (0.17)
1,"Crowell, Andrew",23y 292d,22 (11-0-11 50.00%),10 (0.45),←,
9,"Edwards, Tyson",24y 301d,113 (56-0-57 49.56%),66 (0.58),←,
36,"Goodwin, Simon",24y 159d,82 (44-0-38 53.66%),38 (0.46),←,
34,"Hart, Ben",26y 329d,211 (104-1-106 49.53%),39 (0.18),←,
3,"Jarman, Darren",34y 126d,217 (123-0-94 56.68%),351 (1.62),108 (58-0-50 53.70%),229 (2.12)
28,"Johnson, Kane",23y 80d,72 (37-0-35 51.39%),23 (0.32),←,
40,"Ladhams, Chris",20y 225d,10 (6-0-4 60.00%),5 (0.50),←,
31,"Marsh, Ben",24y 329d,27 (16-0-11 59.26%),11 (0.41),←,
16,"McGregor, Ken",20y 125d,33 (14-0-19 42.42%),17 (0.52),←,
23,"McLeod, Andrew",24y 303d,133 (66-0-67 49.62%),137 (1.03),←,
32,"Ricciuto, Mark",25y 360d,181 (85-1-95 47.24%),121 (0.67),←,
10,"Robran, Matthew",30y 76d,132 (71-0-61 53.79%),115 (0.87),125 (67-0-58 53.60%),110 (0.88)
7,"Smart, Nigel",32y 13d,215 (104-1-110 48.60%),104 (0.48),←,
20,"Stenglein, Tyson",20y 322d,29 (15-0-14 51.72%),5 (0.17),←,
19,"Stevens, Mark",25y 221d,74 (42-0-32 56.76%),39 (0.53),53 (26-0-27 49.06%),19 (0.36)
30,"Vardy, Peter",25y 128d,86 (45-0-41 52.33%),142 (1.65),←,
17,"Welsh, Scott",22y 178d,67 (40-0-27 59.70%),86 (1.28),31 (14-0-17 45.16%),56 (1.81)
Totals,Totals,25y 227d,2181 (1105-5-1071 50.66%),1476 (0.68),,
C,"Ayres, Gary",40y 248d,148 (80-1-67 54.39%),,32 (15-0-17 46.88%),
