Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Brayshaw, Angus",7,3,8,15,1.0,,,2.0,1.0,3.0,1.0,5.0,1.0,3.0,,9,6,,1.0,1.0,,2.0,72.0
32,"Bugg, Tomas",12,5,17,29,,,,9.0,1.0,1.0,2.0,2.0,,,,14,16,,1.0,2.0,1.0,2.0,85.0
14,"Dunn, Lynden",12,4,1,13,,,,2.0,6.0,1.0,,2.0,,1.0,,3,9,,,6.0,1.0,,92.0
17,"Frost, Sam",8,5,11,19,1.0,2.0,,4.0,1.0,4.0,1.0,3.0,1.0,,,9,11,1.0,2.0,,,2.0,77.0
11,"Gawn, Max",7,6,8,15,1.0,,37.0,5.0,1.0,,1.0,4.0,1.0,4.0,,3,12,2.0,1.0,4.0,,,85.0
43,"Harmes, James",8,2,10,18,,,,6.0,1.0,5.0,1.0,1.0,2.0,,,11,10,1.0,,3.0,,1.0,82.0
1,"Hogan, Jesse",12,9,6,18,2.0,2.0,,,1.0,5.0,,1.0,,,,5,13,2.0,2.0,3.0,,,88.0
29,"Hunt, Jayden",7,5,6,13,,,,2.0,4.0,2.0,,3.0,,2.0,,4,10,,,2.0,,,75.0
39,"Jetta, Neville",8,2,11,19,,,,7.0,1.0,,2.0,2.0,2.0,1.0,,9,10,,,5.0,,,84.0
45,"Jones, Matt",8,2,10,18,,,,2.0,2.0,2.0,3.0,1.0,,,,5,12,,,1.0,,,73.0
2,"Jones, Nathan",9,2,20,29,,1.0,,4.0,4.0,,2.0,5.0,,,2.0,9,20,,1.0,1.0,,1.0,84.0
35,"Kennedy, Ben",9,4,13,22,1.0,,,1.0,2.0,3.0,3.0,4.0,1.0,1.0,,9,13,1.0,,,1.0,,65.0
16,"Kent, Dean",12,4,9,21,1.0,,,6.0,1.0,5.0,1.0,5.0,,1.0,,4,15,,1.0,1.0,,1.0,82.0
8,"Lumumba, Heritier",9,7,11,20,,,,,,5.0,,,,,,3,17,1.0,,4.0,,2.0,89.0
25,"McDonald, Tom",11,8,6,17,,,,,4.0,1.0,,2.0,,1.0,,3,14,,,14.0,1.0,,98.0
13,"Oliver, Clayton",3,2,8,11,,,,8.0,2.0,1.0,1.0,2.0,,1.0,,5,6,,,1.0,,,69.0
21,"Pedersen, Cameron",11,5,9,20,2.0,,3.0,3.0,1.0,3.0,,1.0,,,,5,13,1.0,,3.0,,1.0,82.0
3,"Salem, Christian",12,1,8,20,,,,5.0,4.0,2.0,,,3.0,,,9,9,,,,,,81.0
12,"Tyson, Dom",8,5,16,24,2.0,,,6.0,3.0,5.0,3.0,3.0,,1.0,,8,16,1.0,1.0,1.0,2.0,,82.0
7,"Viney, Jack",10,3,21,31,1.0,,,6.0,2.0,6.0,10.0,3.0,2.0,1.0,1.0,16,15,,,1.0,,1.0,87.0
42,"Wagner, Josh",13,6,11,24,,,,5.0,2.0,2.0,,2.0,2.0,1.0,,5,20,2.0,,2.0,,,80.0
4,"Watts, Jack",14,8,3,17,4.0,1.0,,1.0,,1.0,,2.0,,1.0,3.0,6,11,1.0,3.0,1.0,,,88.0
Totals,Totals,210,98,223,433,16.0,6.0,40.0,84.0,44.0,57.0,31.0,53.0,15.0,19.0,6.0,154,278,13.0,13.0,56.0,6.0,13.0,
Opposition,Opposition,215,85,197,412,9.0,13.0,34.0,99.0,39.0,55.0,36.0,43.0,19.0,15.0,,150,264,13.0,8.0,50.0,6.0,8.0,
