Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
26,"Doyle, Greg",23y 204d,7 (4-0-3 57.14%),9 (1.29),5 (4-0-1 80.00%),6 (1.20)
20,"Febey, Matthew",24y 240d,31 (17-0-14 54.84%),14 (0.45),←,
21,"Febey, Steven",24y 240d,111 (64-0-47 57.66%),17 (0.15),←,
14,"Grinter, Rod",28y 325d,128 (71-1-56 55.86%),55 (0.43),←,
22,"Hilton, Jeff",21y 324d,9 (7-0-2 77.78%),10 (1.11),3 (3-0-0 100.00%),4 (1.33)
13,"Jakovich, Allen",26y 26d,37 (20-0-17 54.05%),167 (4.51),←,
7,"Kowal, Darren",21y 302d,23 (14-0-9 60.87%),22 (0.96),←,
37,"Lamprill, Andrew",24y 347d,7 (3-0-4 42.86%),2 (0.29),←,
16,"Lovell, Andy",23y 262d,80 (39-1-40 49.38%),97 (1.21),←,
17,"Lovett, Brett",27y 331d,163 (95-1-67 58.59%),21 (0.13),←,
3,"Lyon, Garry",26y 215d,151 (91-1-59 60.60%),213 (1.41),←,
9,"Neitz, David",19y 84d,23 (13-0-10 56.52%),17 (0.74),←,
29,"Obst, Andrew",29y 240d,75 (43-0-32 57.33%),40 (0.53),←,
41,"Rohde, Peter",29y 148d,144 (87-1-56 60.76%),24 (0.17),98 (53-1-44 54.59%),18 (0.18)
5,"Schwarz, David",21y 266d,40 (15-1-24 38.75%),39 (0.98),←,
11,"Stynes, Jim",27y 358d,156 (91-1-64 58.65%),103 (0.66),←,
4,"Sullivan, Chris",21y 251d,19 (8-1-10 44.74%),19 (1.00),←,
2,"Tingay, Stephen",23y 246d,80 (47-0-33 58.75%),39 (0.49),←,
12,"Viney, Todd",28y 17d,121 (64-1-56 53.31%),54 (0.45),←,
27,"Wight, Sean",30y 32d,108 (61-0-47 56.48%),63 (0.58),←,
8,"Yeats, Graeme",29y 207d,160 (88-1-71 55.31%),45 (0.28),←,
Totals,Totals,25y 187d,1673 (942-10-721 56.31%),1070 (0.64),,
C,"Balme, Neil",42y 91d,23 (13-0-10 56.52%),,←,
