Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",23y 174d,80 (38-2-40 48.75%),48 (0.60),←,
35,"Baxter, Darren",27y 87d,116 (56-3-57 49.57%),22 (0.19),←,
3,"Campbell, Adrian",23y 162d,28 (12-1-15 44.64%),31 (1.11),←,
6,"Campbell, Tony",24y 306d,87 (49-0-38 56.32%),61 (0.70),12 (10-0-2 83.33%),
20,"Coleman, Glenn",31y 132d,177 (97-2-78 55.37%),103 (0.58),52 (29-1-22 56.73%),39 (0.75)
26,"Del-Re, Danny",24y 123d,32 (19-1-12 60.94%),66 (2.06),←,
41,"Frost, Michael",21y 168d,1 (1-0-0 100.00%),,←,
29,"Grant, Chris",19y 184d,47 (27-1-19 58.51%),96 (2.04),←,
7,"Hawkins, Doug",32y 40d,276 (115-4-157 42.39%),183 (0.66),←,
10,"Hunter, Mark",26y 285d,69 (32-2-35 47.83%),2 (0.03),←,
4,"Kellett, Nigel",22y 179d,29 (16-0-13 55.17%),9 (0.31),←,
39,"Liberatore, Tony",26y 124d,71 (41-1-29 58.45%),42 (0.59),←,
27,"Macpherson, Stephen",27y 195d,150 (74-3-73 50.33%),139 (0.93),←,
25,"Mansfield, Matthew",22y 356d,14 (10-0-4 71.43%),2 (0.14),←,
2,"Reynolds, Keenan",23y 159d,29 (17-0-12 58.62%),3 (0.10),←,
33,"Royal, Brian",30y 185d,180 (96-2-82 53.89%),255 (1.42),←,
31,"Smith, Rohan",19y 14d,11 (9-0-2 81.82%),9 (0.82),←,
17,"Standfield, Barry",22y 122d,19 (12-0-7 63.16%),5 (0.26),←,
24,"Wallis, Stephen",27y 231d,189 (100-2-87 53.44%),45 (0.24),←,
15,"Wynd, Scott",22y 141d,67 (33-1-33 50.00%),11 (0.16),←,
Totals,Totals,24y 351d,1672 (854-25-793 51.08%),1132 (0.68),,
C,"Wheeler, Terry",37y 93d,56 (31-1-24 56.25%),,←,
