Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
37,"Austin, Matt",8,4,3,11,,,,1.0,1.0,1.0,,,1.0,,,5.0,5.0,,,,,,70.0
20,"Black, Simon",8,,10,18,,,,2.0,2.0,1.0,3.0,1.0,2.0,1.0,,9.0,10.0,,,1.0,,,93.0
36,"Bradshaw, Daniel",10,7,1,11,5,1.0,,1.0,,1.0,,,,,1.0,3.0,8.0,,5.0,1.0,,,100.0
17,"Brennan, Jared",11,7,6,17,,,8.0,1.0,3.0,4.0,1.0,1.0,,1.0,,3.0,14.0,1.0,,1.0,,1.0,83.0
16,"Brown, Jonathan",6,4,2,8,4,1.0,1.0,3.0,,1.0,,1.0,1.0,1.0,,3.0,5.0,1.0,3.0,,,,100.0
1,"Clark, Mitch",16,12,5,21,,1.0,24.0,3.0,1.0,4.0,4.0,8.0,2.0,6.0,,7.0,14.0,1.0,1.0,3.0,2.0,1.0,86.0
39,"Drummond, Josh",9,2,4,13,,,,3.0,2.0,4.0,,1.0,2.0,,,5.0,6.0,,,4.0,,,87.0
5,"Harding, Scott",7,4,12,19,,,,,,3.0,5.0,,,,,8.0,11.0,,,2.0,,1.0,64.0
12,"Hawksley, James",5,4,10,15,,,,,1.0,1.0,1.0,2.0,2.0,,,5.0,10.0,1.0,,2.0,,,86.0
4,"Johnstone, Travis",16,5,4,20,,2.0,,1.0,1.0,3.0,3.0,4.0,,,,7.0,11.0,,1.0,,,2.0,78.0
26,"Macdonald, Joel",3,3,8,11,,,,4.0,,1.0,1.0,2.0,,2.0,,3.0,7.0,,,7.0,,1.0,79.0
9,"McGrath, Ashley",13,8,7,20,1,1.0,,7.0,2.0,4.0,2.0,,1.0,,,7.0,13.0,1.0,1.0,2.0,1.0,1.0,91.0
21,"Merrett, Daniel",1,1,2,3,,,1.0,,,1.0,1.0,2.0,1.0,,,2.0,2.0,,,2.0,,,33.0
24,"Patfull, Joel",10,3,2,12,,,,2.0,2.0,1.0,1.0,2.0,,1.0,,2.0,7.0,,,4.0,,1.0,100.0
31,"Polkinghorne, James",4,4,3,7,,,,3.0,,1.0,,2.0,,,,1.0,6.0,,,1.0,,1.0,86.0
6,"Power, Luke",16,7,15,31,,,,6.0,5.0,4.0,2.0,2.0,,1.0,3.0,9.0,22.0,1.0,,1.0,,1.0,89.0
30,"Redden, Jack",18,10,6,24,1,,,3.0,,7.0,1.0,2.0,1.0,1.0,,5.0,18.0,,1.0,1.0,,2.0,72.0
10,"Rich, Daniel",12,6,5,17,1,1.0,,3.0,3.0,5.0,,2.0,,1.0,,3.0,14.0,,,1.0,,,78.0
35,"Rischitelli, Michael",7,3,7,14,3,,,5.0,,1.0,4.0,2.0,1.0,2.0,,7.0,7.0,,1.0,1.0,,,80.0
3,"Sheldon, Sam",9,1,7,16,,,,4.0,1.0,1.0,,5.0,1.0,1.0,,6.0,9.0,,,1.0,,,83.0
11,"Sherman, Justin",12,4,10,22,1,1.0,,4.0,3.0,5.0,3.0,2.0,3.0,,,8.0,15.0,,,,4.0,,97.0
32,"Stiller, Cheynee",7,5,5,12,,,,2.0,1.0,,1.0,1.0,,,,6.0,7.0,1.0,,4.0,,,66.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,208,104,134,342,16,11.0,34.0,58.0,28.0,54.0,33.0,42.0,18.0,18.0,4.0,114.0,221.0,7.0,13.0,39.0,7.0,12.0,
Opposition,Opposition,217,109,164,381,14,8.0,38.0,54.0,35.0,43.0,47.0,42.0,18.0,18.0,2.0,124.0,254.0,8.0,12.0,36.0,14.0,10.0,
