Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
24,"Blurton, Ashley",24y 43d,21 (10-0-11 47.62%),5 (0.24),11 (5-0-6 45.45%),3 (0.27)
30,"Bourke, David",23y 98d,51 (29-0-22 56.86%),13 (0.25),←,
11,"Bowden, Joel",20y 300d,40 (23-0-17 57.50%),44 (1.10),←,
17,"Broderick, Paul",29y 104d,208 (100-1-107 48.32%),144 (0.69),115 (61-1-53 53.48%),64 (0.56)
9,"Campbell, Wayne",26y 206d,165 (76-1-88 46.36%),98 (0.59),←,
6,"Chaffey, Mark",21y 346d,26 (11-0-15 42.31%),6 (0.23),←,
10,"Daffy, Nick",25y 341d,115 (62-1-52 54.35%),150 (1.30),←,
7,"Dragicevic, Marc",18y 18d,3 (2-0-1 66.67%),2 (0.67),←,
19,"Evans, Brett",26y 326d,19 (9-0-10 47.37%),18 (0.95),←,
2,"Gaspar, Darren",22y 332d,87 (41-0-46 47.13%),7 (0.08),66 (34-0-32 51.52%),6 (0.09)
16,"Holland, Ben",21y 342d,47 (25-0-22 53.19%),55 (1.17),←,
23,"James, Aaron",22y 168d,34 (14-2-18 44.12%),15 (0.44),11 (5-0-6 45.45%),9 (0.82)
3,"Kellaway, Duncan",26y 59d,113 (58-1-54 51.77%),3 (0.03),←,
33,"Knights, Matthew",28y 194d,198 (80-0-118 40.40%),111 (0.56),←,
15,"McKee, Steven",20y 301d,11 (7-0-4 63.64%),1 (0.09),←,
5,"Ottens, Brad",19y 82d,16 (9-0-7 56.25%),9 (0.56),←,
13,"Powell, Robert",23y 29d,43 (24-0-19 55.81%),48 (1.12),←,
40,"Proctor, Lionel",19y 141d,4 (3-0-1 75.00%),1 (0.25),←,
12,"Richardson, Matthew",24y 29d,103 (51-0-52 49.51%),315 (3.06),←,
4,"Rogers, Matthew",25y 143d,102 (55-1-46 54.41%),75 (0.74),←,
32,"Tivendale, Greg",19y 363d,4 (2-0-2 50.00%),2 (0.50),←,
41,"Turner, Scott",28y 321d,138 (58-0-80 42.03%),33 (0.24),←,
Totals,Totals,23y 228d,1548 (749-7-792 48.39%),1155 (0.75),,
C,"Gieschen, Jeff",42y 207d,31 (18-0-13 58.06%),,←,
