Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Bizzell, Clint",6,5,10,16,1,,,4.0,,2.0,2.0,2.0,1.0,2.0,,7.0,9.0,1.0,,5.0,1.0,,
35,"Chapman, Paul",4,2,1,5,,,,1.0,,2.0,2.0,,1.0,1.0,,2.0,3.0,,,1.0,,,
14,"Clarke, David",10,6,6,16,,,,2.0,1.0,4.0,3.0,3.0,2.0,2.0,,6.0,11.0,1.0,,,,,
11,"Corey, Joel",3,1,,3,,,,3.0,,1.0,1.0,,,,,,3.0,,,,,,
44,"Enright, Corey",11,8,11,22,1,,,,2.0,5.0,2.0,3.0,,,,6.0,16.0,,,,,,
23,"Foster, Daniel",6,3,3,9,,,,,3.0,1.0,1.0,,,1.0,,5.0,4.0,1.0,,3.0,,,
7,"Graham, Ben",7,4,4,11,1,1.0,2.0,1.0,3.0,2.0,2.0,1.0,,4.0,,4.0,7.0,1.0,,2.0,,,
37,"Harley, Tom",11,9,4,15,,,,,4.0,2.0,1.0,,,,,5.0,10.0,2.0,,2.0,,,
3,"Houlihan, Adam",13,8,5,18,,,,1.0,1.0,4.0,2.0,2.0,2.0,1.0,,6.0,11.0,1.0,2.0,,,,
41,"Hunt, Josh",1,,1,2,,,,,1.0,,,,,,,2.0,,,,,,,
18,"Kingsley, Kent",11,9,2,13,1,2.0,,1.0,,3.0,,,,2.0,,6.0,8.0,3.0,2.0,,,,
1,"King, Steven",7,4,,7,3,1.0,4.0,2.0,,2.0,,,1.0,,,4.0,3.0,2.0,3.0,1.0,,,
17,"McGrath, Tim",10,8,8,18,,,,1.0,3.0,,2.0,3.0,1.0,1.0,,6.0,13.0,1.0,,1.0,,,
39,"Milburn, Darren",12,6,8,20,1,,3.0,4.0,2.0,2.0,,2.0,3.0,1.0,,10.0,10.0,2.0,1.0,,1.0,,
20,"Murphy, Justin",9,3,6,15,1,,,1.0,1.0,3.0,,1.0,1.0,1.0,,4.0,14.0,,,,2.0,,
34,"Rahilly, James",9,2,4,13,,,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,4.0,9.0,,,,2.0,,
27,"Sanderson, Brenton",11,6,9,20,,,,2.0,4.0,1.0,1.0,3.0,,,,9.0,12.0,1.0,,2.0,,,
30,"Scarlett, Matthew",14,10,8,22,,,,,8.0,1.0,,3.0,,,,7.0,14.0,3.0,,,,,
6,"Spriggs, David",2,,1,3,,,,,,,1.0,1.0,1.0,1.0,,2.0,,,,1.0,,,
36,"Street, Peter",3,5,5,8,,,6.0,3.0,,1.0,,2.0,,,,5.0,3.0,3.0,,2.0,,,
19,"White, Mitchell",10,4,2,12,1,,,4.0,1.0,2.0,2.0,,,1.0,,3.0,8.0,,,,,,
40,"Wojcinski, David",5,1,5,10,,,,1.0,,3.0,2.0,,,1.0,,5.0,5.0,,,,1.0,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,175,104,103,278,10,9.0,15.0,32.0,35.0,44.0,25.0,28.0,14.0,20.0,,108.0,173.0,22.0,8.0,20.0,7.0,,
Opposition,Opposition,212,85,111,323,14,15.0,46.0,31.0,28.0,57.0,39.0,18.0,20.0,14.0,6.0,112.0,208.0,18.0,12.0,37.0,15.0,,
