Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Bond, Chris",13,2,3,16,,1.0,,2.0,,,,,4.0,2.0,1.0,,,,,,,,
32,"Bourke, David",3,1,1,4,,,4.0,,,,,,,,,,,,,,,,
22,"Bower, Nathan",12,3,6,18,,,,2.0,,,,,,2.0,,,,,,,,,
17,"Broderick, Paul",15,2,11,26,,1.0,1.0,3.0,,,,,1.0,,,,,,,,,,
21,"Bulluss, Paul",12,4,3,15,1,,3.0,1.0,,,,,3.0,3.0,,,,,,,,,
9,"Campbell, Wayne",25,10,7,32,1,1.0,2.0,3.0,,,,,2.0,1.0,,,,,,,,,
15,"Charles, Justin",4,1,3,7,,,6.0,,,,,,,,,,,,,,,,
10,"Daffy, Nick",10,2,1,11,1,1.0,,1.0,,,,,,,,,,,,,,,
14,"Dear, Greg",5,4,2,7,,,10.0,,,,,,,,,,,,,,,,
2,"Dundas, Matthew",11,2,3,14,,,,1.0,,,,,3.0,1.0,,,,,,,,,
25,"Gale, Brendon",7,7,4,11,1,,5.0,3.0,,,,,,1.0,,,,,,,,,
23,"Jurica, Stephen",,,1,1,,,1.0,,,,,,,,,,,,,,,,
3,"Kellaway, Duncan",6,1,3,9,,,,4.0,,,,,2.0,1.0,,,,,,,,,
33,"Knights, Matthew",14,5,11,25,2,1.0,,,,,,,2.0,1.0,3.0,,,,,,,,
28,"Merenda, Mark",4,,,4,1,1.0,,1.0,,,,,,,,,,,,,,,
6,"Naish, Chris",9,7,7,16,2,2.0,,,,,,,1.0,1.0,,,,,,,,,
19,"Neeld, Mark",3,,3,6,,,1.0,,,,,,,2.0,,,,,,,,,
7,"Prescott, Ashley",7,2,4,11,,,,2.0,,,,,1.0,,,,,,,,,,
4,"Rogers, Matthew",7,3,4,11,,1.0,,,,,,,,1.0,,,,,,,,,
5,"Tape, Jamie",5,1,4,9,,,,,,,,,2.0,1.0,,,,,,,,,
29,"Torney, Jason",8,2,1,9,1,2.0,,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,180,59,82,262,10,14.0,33.0,23.0,,,,,21.0,17.0,4.0,,,,,,,,
Opposition,Opposition,175,66,104,279,9,13.0,37.0,20.0,,,,,17.0,21.0,2.0,,,,,,,,
