Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
30,"Allen, Scott",19y 76d,4 (1-0-3 25.00%),2 (0.50),←,
18,"Cameron, Leon",21y 226d,65 (33-1-31 51.54%),27 (0.42),←,
26,"Del-Re, Danny",26y 63d,61 (33-1-27 54.92%),139 (2.28),←,
32,"Ellis, Craig",18y 316d,1 (0-0-1 0.00%),,←,
3,"Grant, Chris",21y 124d,80 (43-1-36 54.38%),162 (2.03),←,
1,"Grgic, Ilija",22y 42d,13 (7-0-6 53.85%),24 (1.85),←,
7,"Hawkins, Doug",33y 346d,312 (133-4-175 43.27%),212 (0.68),←,
10,"Hunter, Mark",28y 225d,94 (44-2-48 47.87%),2 (0.02),←,
21,"Kolyniuk, Steven",23y 285d,79 (38-1-40 48.73%),94 (1.19),←,
12,"Koster, Kym",21y 74d,3 (0-0-3 0.00%),1 (0.33),←,
35,"Kretiuk, Steven",21y 286d,21 (13-0-8 61.90%),5 (0.24),←,
39,"Liberatore, Tony",28y 64d,108 (60-1-47 56.02%),61 (0.56),←,
9,"Nicholson, Brad",19y 316d,6 (3-0-3 50.00%),1 (0.17),←,
22,"Quill, Peter",24y 236d,15 (8-0-7 53.33%),6 (0.40),←,
34,"Sexton, Ben",21y 169d,24 (12-1-11 52.08%),25 (1.04),←,
5,"Smith, Rohan",20y 320d,21 (14-0-7 66.67%),17 (0.81),←,
8,"Southern, Daniel",19y 105d,4 (1-0-3 25.00%),,←,
17,"Standfield, Barry",24y 62d,56 (31-0-25 55.36%),22 (0.39),←,
24,"Wallis, Stephen",29y 171d,209 (110-2-97 53.11%),52 (0.25),←,
25,"Watts, Jason",22y 261d,4 (1-0-3 25.00%),1 (0.25),←,
14,"West, Scott",19y 153d,20 (10-0-10 50.00%),22 (1.10),←,
Totals,Totals,23y 100d,1200 (595-14-591 49.58%),875 (0.73),,
C,"Joyce, Alan",51y 177d,95 (67-0-28 70.53%),,2 (0-0-2 0.00%),
