Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ballantyne, Jon",6,2,3,9,,,,3.0,,,,,,1.0,,,,,,,,,
3,"Brereton, Dermott",9,4,5,14,2,1.0,,3.0,,,,,2.0,,,,,,,,,,
26,"Brown, Gavin",14,5,4,18,1,1.0,,,,,,,2.0,,,,,,,,,,
5,"Buckley, Nathan",24,2,5,29,1,,1.0,,,,,,4.0,1.0,,,,,,,,,
24,"Butcher, Kent",6,3,3,9,,,,,,,,,1.0,,,,,,,,,,
28,"Crosisca, Gavin",10,4,1,11,,,,3.0,,,,,2.0,2.0,,,,,,,,,
43,"Curran, Chris",2,2,6,8,,,,1.0,,,,,,1.0,,,,,,,,,
15,"Hassall, Jon",4,,8,12,,,,1.0,,,,,2.0,,,,,,,,,,
38,"James, Aaron",8,1,3,11,,1.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,,
33,"Liddell, Chad",7,4,4,11,,2.0,,1.0,,,,,1.0,,,,,,,,,,
1,"Monkhorst, Damian",9,5,6,15,,1.0,14.0,2.0,,,,,1.0,1.0,,,,,,,,,
41,"Orchard, Mark",7,1,5,12,1,,1.0,2.0,,,,,,,,,,,,,,,
6,"Patterson, Stephen",5,1,2,7,,,,1.0,,,,,,3.0,,,,,,,,,
13,"Richardson, Alan",9,,3,12,,,,1.0,,,,,3.0,,,,,,,,,,
16,"Richardson, Mark",4,3,5,9,,1.0,5.0,3.0,,,,,1.0,,,,,,,,,,
36,"Rocca, Saverio",8,4,3,11,4,1.0,4.0,,,,,,,1.0,,,,,,,,,
32,"Rowe, Brad",2,1,7,9,,,,1.0,,,,,,1.0,,,,,,,,,
29,"Russell, Scott",18,1,6,24,,1.0,,1.0,,,,,3.0,2.0,,,,,,,,,
17,"Wild, Jason",4,,,4,,1.0,,2.0,,,,,,,,,,,,,,,
10,"Williams, Paul",8,3,4,12,1,,,1.0,,,,,,1.0,,,,,,,,,
19,"Wright, Graham",7,3,10,17,,,,,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,171,49,93,264,10,11.0,27.0,27.0,,,,,23.0,16.0,,,,,,,,,
Opposition,Opposition,172,47,82,254,10,11.0,20.0,17.0,,,,,16.0,23.0,6.0,,,,,,,,
