Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",29y 60d,246 (135-2-109 55.28%),324 (1.32),54 (11-0-43 20.37%),62 (1.15)
11,"Bennell, Harley",20y 284d,44 (8-0-36 18.18%),49 (1.11),←,
40,"Boston, Andrew",19y 112d,3 (0-0-3 0.00%),,←,
3,"Brennan, Jared",28y 350d,169 (64-3-102 38.76%),98 (0.58),50 (9-0-41 18.00%),23 (0.46)
36,"Broughton, Greg",26y 287d,79 (33-0-46 41.77%),17 (0.22),11 (4-0-7 36.36%),2 (0.18)
30,"Brown, Campbell",29y 319d,201 (82-1-118 41.04%),103 (0.51),42 (7-0-35 16.67%),39 (0.93)
12,"Day, Sam",20y 310d,37 (7-0-30 18.92%),19 (0.51),←,
33,"Hall, Aaron",22y 246d,23 (7-0-16 30.43%),25 (1.09),←,
46,"Hall, Josh",23y 101d,3 (1-0-2 33.33%),2 (0.67),←,
5,"Harbrow, Jarrod",24y 360d,120 (51-1-68 42.92%),34 (0.28),50 (11-0-39 22.00%),13 (0.26)
17,"May, Steven",21y 184d,28 (6-0-22 21.43%),15 (0.54),←,
18,"McKenzie, Trent",21y 101d,50 (10-0-40 20.00%),19 (0.38),←,
29,"Murphy, Tom",27y 116d,108 (59-1-48 55.09%),5 (0.05),13 (4-0-9 30.77%),
22,"Nicholls, Tom",21y 131d,7 (1-0-6 14.29%),2 (0.29),←,
1,"OMeara, Jaeger",19y 140d,15 (5-0-10 33.33%),10 (0.67),←,
10,"Prestia, Dion",20y 274d,45 (7-0-38 15.56%),9 (0.20),←,
8,"Russell, Luke",21y 170d,36 (4-0-32 11.11%),17 (0.47),←,
26,"Shaw, Matt",21y 158d,49 (10-0-39 20.41%),19 (0.39),←,
25,"Stanley, Danny",25y 145d,51 (11-0-40 21.57%),23 (0.45),46 (10-0-36 21.74%),23 (0.50)
24,"Swallow, David",20y 236d,48 (10-0-38 20.83%),20 (0.42),←,
48,"Tape, Seb",20y 341d,24 (1-0-23 4.17%),,←,
16,"Thompson, Rory",22y 123d,28 (6-0-22 21.43%),5 (0.18),←,
Totals,Totals,23y 74d,1414 (518-8-888 36.63%),815 (0.58),,
C,"McKenna, Guy",44y 63d,59 (11-0-48 18.64%),,←,
