Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
19,"Bartram, Clint",18y 116d,11 (7-0-4 63.64%),3 (0.27),←,
6,"Bate, Matthew",19y 19d,6 (6-0-0 100.00%),4 (0.67),←,
21,"Bell, Daniel",21y 60d,22 (15-0-7 68.18%),,←,
32,"Bruce, Cameron",26y 255d,133 (68-0-65 51.13%),167 (1.26),←,
41,"Carroll, Nathan",25y 235d,28 (11-0-17 39.29%),1 (0.04),←,
36,"Davey, Aaron",23y 2d,53 (31-0-22 58.49%),77 (1.45),←,
14,"Dunn, Lynden",19y 29d,6 (5-0-1 83.33%),8 (1.33),←,
30,"Godfrey, Simon",25y 237d,80 (40-0-40 50.00%),13 (0.16),←,
18,"Green, Brad",25y 91d,136 (71-0-65 52.21%),189 (1.39),←,
4,"Holland, Ben",29y 33d,167 (87-0-80 52.10%),163 (0.98),42 (25-0-17 59.52%),39 (0.93)
40,"Jamar, Mark",22y 307d,30 (14-0-16 46.67%),9 (0.30),←,
17,"Johnson, Chris",20y 138d,8 (2-0-6 25.00%),,←,
16,"Johnstone, Travis",25y 330d,134 (67-0-67 50.00%),101 (0.75),←,
23,"McDonald, James",29y 250d,164 (80-0-84 48.78%),40 (0.24),←,
9,"Neitz, David",31y 141d,274 (130-0-144 47.45%),561 (2.05),←,
33,"Pickett, Byron",28y 305d,186 (122-0-64 65.59%),168 (0.90),11 (7-0-4 63.64%),7 (0.64)
28,"Read, Phillip",26y 235d,104 (50-2-52 49.04%),31 (0.30),30 (17-0-13 56.67%),7 (0.23)
27,"Rivers, Jared",21y 237d,48 (26-0-22 54.17%),2 (0.04),←,
24,"Robertson, Russell",27y 200d,178 (89-0-89 50.00%),312 (1.75),←,
10,"Ward, Daniel",28y 338d,105 (39-0-66 37.14%),25 (0.24),←,
34,"White, Jeff",29y 113d,218 (108-0-110 49.54%),94 (0.43),186 (95-0-91 51.08%),76 (0.41)
13,"Yze, Adem",28y 264d,244 (113-0-131 46.31%),210 (0.86),←,
Totals,Totals,25y 79d,2335 (1181-2-1152 50.58%),2178 (0.93),,
C,"Daniher, Neale",45y 117d,197 (99-0-98 50.25%),,←,
