Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
15,"Banik, Anthony",18y 93d,23 (7-0-16 30.43%),,←,
46,"Campbell, Wayne",18y 209d,1 (1-0-0 100.00%),,←,
16,"Cloke, David",36y 82d,316 (181-2-133 57.59%),314 (0.99),202 (117-2-83 58.42%),263 (1.30)
25,"Gale, Brendon",22y 276d,27 (8-0-19 29.63%),24 (0.89),←,
24,"Goodwin, Andy",27y 295d,42 (13-0-29 30.95%),9 (0.21),←,
34,"Hogg, Jeff",24y 187d,90 (27-0-63 30.00%),156 (1.73),←,
2,"Keays, Terry",20y 352d,25 (10-0-15 40.00%),18 (0.72),5 (1-0-4 20.00%),7 (1.40)
33,"Knights, Matthew",20y 197d,50 (15-0-35 30.00%),38 (0.76),←,
4,"Lambert, Craig",22y 197d,65 (18-0-47 27.69%),21 (0.32),←,
26,"Leys, Brian",23y 72d,56 (18-0-38 32.14%),6 (0.11),←,
28,"McQueen, Mark",21y 101d,4 (1-0-3 25.00%),1 (0.25),←,
6,"Naish, Chris",19y 205d,9 (2-0-7 22.22%),11 (1.22),←,
22,"Nichols, Trent",22y 13d,49 (14-0-35 28.57%),42 (0.86),←,
9,"Pickering, Justin",23y 261d,53 (17-0-36 32.08%),50 (0.94),←,
35,"Pickering, Michael",27y 141d,121 (41-0-80 33.88%),151 (1.25),←,
21,"Powell, Tim",23y 6d,38 (12-0-26 31.58%),30 (0.79),←,
32,"Ryan, Des",23y 196d,43 (14-0-29 32.56%),21 (0.49),←,
36,"Trewella, Mark",24y 296d,25 (9-0-16 36.00%),7 (0.28),2 (1-0-1 50.00%),3 (1.50)
41,"Turner, Scott",20y 324d,5 (1-0-4 20.00%),,←,
3,"Weightman, Dale",31y 199d,235 (109-2-124 46.81%),306 (1.30),←,
Totals,Totals,23y 240d,1277 (518-4-755 40.56%),1205 (0.94),,
C,"Bartlett, Kevin",44y 45d,71 (21-0-50 29.58%),,←,
