Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",22y 237d,66 (27-2-37 42.42%),37 (0.56),←,
50,"Ballantyne, Jon",22y 19d,7 (3-0-4 42.86%),20 (2.86),←,
35,"Baxter, Darren",26y 151d,102 (45-3-54 45.59%),16 (0.16),←,
1,"Charles, Justin",20y 323d,25 (12-1-12 50.00%),13 (0.52),←,
20,"Coleman, Glenn",30y 195d,164 (87-2-75 53.66%),91 (0.55),39 (19-1-19 50.00%),27 (0.69)
37,"Croft, Matthew",18y 172d,3 (1-0-2 33.33%),1 (0.33),←,
12,"Eppelstun, Greg",24y 274d,99 (48-2-49 49.49%),1 (0.01),←,
32,"Foster, Peter",31y 76d,148 (76-3-69 52.36%),54 (0.36),141 (73-3-65 52.84%),52 (0.37)
29,"Grant, Chris",18y 247d,33 (16-1-16 50.00%),65 (1.97),←,
7,"Hawkins, Doug",31y 104d,263 (105-4-154 40.68%),160 (0.61),←,
10,"Hunter, Mark",25y 348d,59 (24-2-33 42.37%),2 (0.03),←,
4,"Kellett, Nigel",21y 242d,18 (7-0-11 38.89%),3 (0.17),←,
8,"Kennedy, Rick",30y 249d,156 (66-2-88 42.95%),34 (0.22),←,
21,"Kolyniuk, Steven",21y 43d,42 (19-1-22 46.43%),44 (1.05),←,
39,"Liberatore, Tony",25y 187d,57 (30-1-26 53.51%),34 (0.60),←,
27,"Macpherson, Stephen",26y 258d,136 (63-3-70 47.43%),135 (0.99),←,
25,"Mansfield, Matthew",22y 54d,3 (1-0-2 33.33%),,←,
33,"Royal, Brian",29y 248d,172 (88-2-82 51.74%),233 (1.35),←,
17,"Standfield, Barry",21y 185d,8 (3-0-5 37.50%),,←,
58,"Stanley, Darren",19y 196d,2 (1-0-1 50.00%),2 (1.00),←,
Totals,Totals,24y 209d,1563 (722-29-812 46.19%),945 (0.60),,
C,"Wheeler, Terry",36y 157d,42 (20-1-21 48.81%),,←,
