Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",14,4,1,15,,,,,5.0,,1.0,4.0,,2.0,,6.0,9.0,1.0,,,,,100.0
6,"Grant, Shannon",14,2,6,20,1,,,2.0,3.0,6.0,2.0,2.0,,,,4.0,16.0,,1.0,1.0,,,94.0
31,"Hale, David",3,2,2,5,,,7.0,,1.0,1.0,,,,,,2.0,3.0,1.0,1.0,1.0,,1.0,66.0
39,"Harding, Leigh",1,,,1,1,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,49.0
4,"Harris, Daniel",7,,15,22,,,,2.0,1.0,3.0,11.0,,1.0,,,16.0,6.0,,,1.0,1.0,,90.0
29,"Harvey, Brent",5,2,7,12,1,,,,,2.0,,1.0,,,,6.0,7.0,1.0,1.0,1.0,,1.0,72.0
22,"Jones, Chad",1,,1,2,1,,3.0,,,,,1.0,,1.0,,2.0,,,,1.0,,,40.0
21,"Jones, Corey",10,3,4,14,3,,2.0,4.0,1.0,4.0,3.0,,2.0,,,10.0,4.0,2.0,2.0,,,1.0,95.0
34,"King, David",15,3,1,16,,1.0,,1.0,8.0,5.0,2.0,1.0,2.0,,,4.0,7.0,,,3.0,4.0,1.0,96.0
35,"Makepeace, Troy",10,5,3,13,,,,2.0,4.0,3.0,1.0,1.0,,,,3.0,10.0,,,2.0,,,94.0
5,"McKernan, Corey",4,3,2,6,2,,22.0,5.0,,2.0,1.0,1.0,1.0,1.0,,4.0,2.0,2.0,1.0,1.0,,,81.0
19,"Motlop, Daniel",1,5,5,6,,,,2.0,,1.0,,2.0,,2.0,,2.0,5.0,,,8.0,,,89.0
20,"Petrie, Drew",6,6,5,11,,,,3.0,2.0,1.0,,2.0,,,,7.0,4.0,3.0,,4.0,,,98.0
3,"Rawlings, Brady",10,5,4,14,1,1.0,,5.0,1.0,4.0,1.0,,,,,4.0,10.0,,,1.0,,,96.0
26,"Rocca, Saverio",7,4,1,8,4,1.0,2.0,1.0,,3.0,,3.0,,2.0,,4.0,3.0,3.0,3.0,2.0,1.0,,98.0
7,"Simpson, Adam",13,5,10,23,,,4.0,3.0,,5.0,11.0,2.0,2.0,1.0,,15.0,9.0,1.0,,4.0,,1.0,92.0
9,"Sinclair, Jess",10,6,3,13,1,,,,2.0,2.0,,2.0,,,,2.0,11.0,1.0,1.0,,,,100.0
10,"Stevens, Anthony",8,1,,8,,,1.0,1.0,1.0,3.0,1.0,4.0,,1.0,,4.0,3.0,,,1.0,,,49.0
12,"Stevens, Michael",6,1,6,12,,1.0,1.0,,1.0,1.0,,2.0,,,,8.0,5.0,,,1.0,,,93.0
14,"Urch, Callum",3,3,3,6,,,,2.0,1.0,,,1.0,,1.0,,2.0,4.0,,,,,,28.0
36,"Watt, Shannon",8,3,6,14,,,,,4.0,2.0,,1.0,,,,6.0,7.0,,,7.0,,,100.0
8,"Wells, Daniel",8,1,5,13,,,,2.0,,3.0,2.0,3.0,,,,4.0,9.0,,,1.0,3.0,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,164,64,90,254,15,6.0,42.0,36.0,35.0,51.0,36.0,34.0,9.0,12.0,,116.0,134.0,15.0,10.0,40.0,9.0,5.0,
Opposition,Opposition,198,105,144,342,23,9.0,33.0,40.0,31.0,61.0,38.0,25.0,12.0,9.0,6.0,108.0,235.0,11.0,25.0,39.0,16.0,14.0,
