Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16,"Croft, Matthew",11,6,5,16,1,,1.0,5.0,,,,,1.0,2.0,1.0,,,,,,,,
11,"Curley, Todd",8,5,3,11,,,,1.0,,,,,,2.0,,,,,,,,,
14,"Darcy, Luke",13,4,1,14,2,1.0,4.0,,,,,,3.0,4.0,,,,,,,,,
3,"Grant, Chris",8,5,9,17,,2.0,2.0,,,,,,3.0,1.0,,,,,,,,,
10,"Hunter, Mark",20,5,5,25,,,,,,,,,,1.0,,,,,,,,,
13,"Jakovich, Allen",3,2,1,4,,2.0,,,,,,,,1.0,,,,,,,,,
6,"Johnson, Brad",13,6,7,20,,1.0,,2.0,,,,,3.0,2.0,,,,,,,,,
4,"Kellett, Nigel",8,2,2,10,,,,3.0,,,,,3.0,1.0,,,,,,,,,
35,"Kretiuk, Steven",5,1,1,6,,,,1.0,,,,,3.0,1.0,,,,,,,,,
39,"Liberatore, Tony",16,,6,22,,,,4.0,,,,,5.0,4.0,,,,,,,,,
23,"Martin, Michael",1,,1,2,,,,1.0,,,,,,,,,,,,,,,
9,"Nicholson, Brad",,,,,,,,,,,,,,,,,,,,,,,
44,"Osborne, Richard",10,3,2,12,1,,,1.0,,,,,2.0,3.0,,,,,,,,,
22,"Quill, Peter",16,5,6,22,1,,,1.0,,,,,1.0,4.0,,,,,,,,,
36,"Romero, Jose",12,1,4,16,,,,2.0,,,,,3.0,1.0,,,,,,,,,
38,"Sir, Sedat",7,2,2,9,,,,1.0,,,,,1.0,3.0,,,,,,,,,
5,"Smith, Rohan",16,5,2,18,1,,,1.0,,,,,2.0,2.0,,,,,,,,,
24,"Wallis, Stephen",7,4,5,12,,,,,,,,,2.0,,,,,,,,,,
25,"Watts, Jason",10,3,2,12,2,2.0,,,,,,,,,,,,,,,,,
45,"Wira, Brad",10,1,5,15,,,,1.0,,,,,2.0,,,,,,,,,,
15,"Wynd, Scott",4,8,12,16,,,17.0,1.0,,,,,1.0,4.0,3.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,198,68,81,279,8,9.0,24.0,25.0,,,,,35.0,36.0,4.0,,,,,,,,
Opposition,Opposition,184,45,69,253,8,9.0,18.0,24.0,,,,,36.0,35.0,2.0,,,,,,,,
