Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",24y 250d,73 (43-0-30 58.90%),113 (1.55),35 (25-0-10 71.43%),58 (1.66)
11,"Archer, Glenn",26y 74d,147 (95-0-52 64.63%),96 (0.65),←,
26,"Bell, Peter",23y 97d,85 (56-0-29 65.88%),82 (0.96),83 (56-0-27 67.47%),80 (0.96)
12,"Blakey, John",32y 317d,284 (148-0-136 52.11%),93 (0.33),149 (96-0-53 64.43%),55 (0.37)
16,"Capuano, Mathew",23y 277d,56 (42-0-14 75.00%),17 (0.30),←,
18,"Carey, Wayne",28y 10d,192 (117-0-75 60.94%),509 (2.65),←,
23,"Clayton, Shane",20y 225d,28 (9-0-19 32.14%),5 (0.18),10 (7-0-3 70.00%),4 (0.40)
6,"Grant, Shannon",22y 48d,93 (57-1-35 61.83%),95 (1.02),35 (25-0-10 71.43%),57 (1.63)
29,"Harvey, Brent",21y 23d,51 (35-0-16 68.63%),54 (1.06),←,
34,"King, David",27y 91d,117 (77-0-40 65.81%),36 (0.31),←,
42,"Kingsley, Kent",20y 253d,1 (1-0-0 100.00%),6 (6.00),←,
4,"Martyn, Mick",30y 279d,231 (135-1-95 58.66%),14 (0.06),←,
5,"McCartney, Jason",25y 84d,107 (56-0-51 52.34%),49 (0.46),32 (22-0-10 68.75%),1 (0.03)
31,"McKernan, Corey",25y 169d,124 (85-0-39 68.55%),133 (1.07),←,
44,"Motlop, Shannon",20y 292d,1 (1-0-0 100.00%),,←,
28,"Pickett, Byron",21y 299d,36 (25-0-11 69.44%),,←,
13,"Pike, Martin",26y 204d,113 (49-0-64 43.36%),53 (0.47),53 (37-0-16 69.81%),13 (0.25)
39,"Rawlings, Brady",17y 361d,8 (7-0-1 87.50%),2 (0.25),←,
24,"Sholl, Craig",31y 158d,208 (123-0-85 59.13%),139 (0.67),←,
7,"Simpson, Adam",23y 110d,75 (54-0-21 72.00%),35 (0.47),←,
10,"Stevens, Anthony",27y 339d,191 (117-0-74 61.26%),89 (0.47),←,
30,"Welsh, Scott",20y 181d,23 (14-0-9 60.87%),18 (0.78),←,
Totals,Totals,24y 238d,2244 (1346-2-896 59.98%),1638 (0.73),,
C,"Pagan, Denis",51y 255d,155 (101-0-54 65.16%),,←,
