Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",26y 159d,151 (67-3-81 45.36%),396 (2.62),←,
35,"Corr, Aidan",25y 113d,80 (37-3-40 48.13%),2 (0.03),←,
16,"Daniels, Brent",20y 182d,30 (19-0-11 63.33%),13 (0.43),←,
1,"Davis, Phil",29y 8d,163 (80-3-80 50.00%),7 (0.04),145 (69-3-73 48.62%),6 (0.04)
24,"de Boer, Matt",29y 181d,184 (107-4-73 59.24%),74 (0.40),46 (29-3-14 66.30%),26 (0.57)
7,"Deledio, Brett",32y 142d,275 (130-6-139 48.36%),197 (0.72),32 (20-1-11 64.06%),15 (0.47)
31,"Finlayson, Jeremy",23y 210d,35 (20-2-13 60.00%),44 (1.26),←,
4,"Greene, Toby",25y 347d,143 (64-1-78 45.10%),164 (1.15),←,
19,"Haynes, Nick",27y 112d,125 (61-3-61 50.00%),9 (0.07),←,
27,"Himmelberg, Harry",23y 122d,62 (40-1-21 65.32%),75 (1.21),←,
2,"Hopper, Jacob",22y 213d,64 (41-1-22 64.84%),27 (0.42),←,
22,"Kelly, Josh",24y 207d,115 (65-2-48 57.39%),76 (0.66),←,
40,"Kennedy, Adam",27y 57d,112 (43-0-69 38.39%),12 (0.11),←,
38,"Lloyd, Daniel",27y 201d,36 (21-3-12 62.50%),30 (0.83),←,
41,"Mumford, Shane",33y 64d,189 (123-4-62 66.14%),52 (0.28),89 (54-2-33 61.80%),13 (0.15)
36,"Perryman, Harry",20y 262d,33 (17-1-15 53.03%),4 (0.12),←,
50,"Reid, Sam",29y 304d,87 (49-3-35 58.05%),29 (0.33),77 (43-3-31 57.79%),28 (0.36)
23,"Shaw, Heath",33y 284d,305 (186-5-114 61.80%),39 (0.13),132 (76-3-53 58.71%),2 (0.02)
14,"Taranto, Tim",21y 222d,60 (37-1-22 62.50%),23 (0.38),←,
15,"Taylor, Sam",20y 125d,27 (19-0-8 70.37%),1 (0.04),←,
6,"Whitfield, Lachie",25y 51d,131 (64-3-64 50.00%),60 (0.46),←,
29,"Williams, Zac",24y 352d,99 (52-0-47 52.53%),23 (0.23),←,
Totals,Totals,26y 45d,2506 (1342-49-1115 53.55%),1357 (0.54),,
C,"Cameron, Leon",47y 5d,140 (77-3-60 56.07%),,←,
