Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
44,"Bandy, Daniel",4,3,4,8,1,,2.0,,1.0,,,,,,,3.0,6.0,1.0,1.0,,,,
7,"Black, Heath",10,4,5,15,,,,,2.0,2.0,1.0,2.0,2.0,1.0,,6.0,9.0,,,2.0,,,
32,"Bond, Chris",5,2,1,6,,1.0,,1.0,,3.0,1.0,,,,,3.0,3.0,,,,,,
42,"Callaghan, Craig",5,3,1,6,,,,1.0,,1.0,,3.0,,2.0,,2.0,4.0,,1.0,,,,
31,"Clement, James",6,2,4,10,2,,,1.0,,2.0,,2.0,2.0,1.0,,10.0,1.0,2.0,2.0,,,,
2,"Fletcher, Adrian",17,8,10,27,,,,,2.0,3.0,4.0,1.0,,,,7.0,21.0,2.0,,1.0,,,
35,"Gale, Mark",12,4,10,22,1,1.0,,,1.0,6.0,2.0,2.0,,,,4.0,19.0,,,,,,
3,"Harding, Greg",10,2,9,19,,,,2.0,5.0,,2.0,4.0,,,,9.0,11.0,1.0,,2.0,,,
11,"Kickett, Dale",9,1,10,19,,,,,1.0,3.0,3.0,3.0,,,,12.0,6.0,,,2.0,,,
9,"Mann, Peter",9,6,6,15,,,,,7.0,2.0,1.0,1.0,,2.0,,6.0,9.0,1.0,,2.0,,,
8,"McManus, Shaun",8,4,3,11,,,,1.0,1.0,2.0,1.0,1.0,,5.0,,5.0,6.0,2.0,1.0,,,,
16,"Michael, Clem",6,2,10,16,,,20.0,2.0,2.0,4.0,10.0,5.0,1.0,2.0,,12.0,3.0,2.0,,1.0,,,
6,"Modra, Tony",10,6,,10,6,2.0,,,,,,1.0,,1.0,,6.0,4.0,2.0,6.0,,,,
25,"Norrish, Jason",10,4,11,21,,,,1.0,2.0,4.0,3.0,3.0,,,,4.0,14.0,,,2.0,,,
10,"OReilly, Stephen",5,3,1,6,,,,1.0,3.0,,,,1.0,,,2.0,4.0,,,4.0,,,
23,"Parker, Shane",10,3,4,14,,,,3.0,1.0,2.0,,2.0,2.0,,,4.0,9.0,,,,,,
36,"Prescott, Ashley",14,4,8,22,1,1.0,,1.0,5.0,2.0,6.0,7.0,2.0,3.0,,7.0,13.0,1.0,,,1.0,,
33,"Shipp, Andrew",3,1,8,11,,,,,,3.0,,1.0,2.0,,,8.0,3.0,,,1.0,,,
15,"Sinclair, Jess",4,1,3,7,,,,,1.0,1.0,1.0,,,,,3.0,4.0,,,2.0,,,
1,"Toia, Luke",7,2,7,14,,1.0,,,2.0,3.0,,1.0,1.0,,,6.0,8.0,,,,,,
26,"Waterhouse, Clive",6,3,4,10,,1.0,,,,4.0,2.0,3.0,,1.0,,2.0,8.0,,1.0,2.0,1.0,,
29,"Wira, Brad",12,4,9,21,,,,,2.0,1.0,,1.0,3.0,,,8.0,12.0,,1.0,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,182,72,128,310,11,9.0,22.0,14.0,38.0,48.0,37.0,43.0,16.0,18.0,,129.0,177.0,14.0,13.0,21.0,2.0,,
Opposition,Opposition,182,79,135,317,15,10.0,15.0,19.0,33.0,61.0,41.0,30.0,18.0,16.0,6.0,122.0,189.0,15.0,16.0,35.0,14.0,,
