Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",29y 192d,130 (84-1-45 65.00%),18 (0.14),←,
46,"Blicavs, Mark",34y 1d,273 (179-3-91 66.12%),71 (0.26),←,
12,"Bowes, Jack",27y 62d,125 (44-2-79 36.00%),31 (0.25),42 (23-1-18 55.95%),17 (0.40)
5,"Cameron, Jeremy",31y 362d,257 (133-3-121 52.33%),654 (2.54),86 (56-0-30 65.12%),227 (2.64)
13,"Clark, Jhye",20y 249d,19 (10-0-9 52.63%),3 (0.16),←,
40,"Clohesy, Ted",20y 204d,5 (1-0-4 20.00%),2 (0.40),←,
45,"Close, Brad",26y 242d,104 (69-1-34 66.83%),92 (0.88),←,
35,"Dangerfield, Patrick",34y 358d,340 (203-2-135 60.00%),339 (1.00),186 (122-2-62 66.13%),176 (0.95)
16,"De Koning, Sam",24y 31d,65 (43-1-21 66.92%),5 (0.08),←,
28,"Dempsey, Oliver",22y 81d,35 (20-0-15 57.14%),29 (0.83),←,
39,"Guthrie, Zach",26y 272d,105 (65-2-38 62.86%),14 (0.13),←,
38,"Henry, Jack",26y 212d,146 (96-1-49 66.10%),24 (0.16),←,
36,"Henry, Oliver",22y 243d,73 (40-1-32 55.48%),110 (1.51),48 (26-1-21 55.21%),82 (1.71)
9,"Holmes, Max",22y 212d,79 (49-1-29 62.66%),38 (0.48),←,
17,"Humphries, Lawson",22y 64d,14 (9-0-5 64.29%),1 (0.07),←,
10,"Knevitt, Mitch",22y 80d,17 (8-0-9 47.06%),5 (0.29),←,
32,"Miers, Gryan",25y 364d,134 (86-1-47 64.55%),101 (0.75),←,
34,"Mullin, Oisin",25y 46d,21 (9-0-12 42.86%),,←,
33,"Neale, Shannon",22y 247d,23 (13-0-10 56.52%),27 (1.17),←,
42,"OConnor, Mark",28y 71d,125 (81-0-44 64.80%),9 (0.07),←,
14,"OSullivan, Connor",19y 314d,4 (2-0-2 50.00%),,←,
3,"Smith, Bailey",24y 112d,105 (60-0-45 57.14%),45 (0.43),2 (1-0-1 50.00%),1 (0.50)
18,"Stengle, Tyson",26y 161d,88 (50-1-37 57.39%),146 (1.66),72 (45-1-26 63.19%),131 (1.82)
Totals,Totals,25y 198d,2287 (1354-20-913 59.20%),1764 (0.77),,
C,"Scott, Chris",48y 330d,337 (227-3-107 67.80%),,←,
