Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Bateman, Chance",14,5,13,27,,1.0,,1.0,,4.0,3.0,5.0,2.0,,,6.0,21.0,1.0,,,,2.0,82.0
14,"Birchall, Grant",12,6,10,22,,,,1.0,5.0,2.0,1.0,,,,,4.0,18.0,1.0,,2.0,,,85.0
30,"Brown, Campbell",4,3,7,11,,,,3.0,2.0,3.0,1.0,1.0,,1.0,,4.0,7.0,,,3.0,1.0,,93.0
16,"Dowler, Beau",8,1,3,11,1,1.0,,1.0,2.0,,,2.0,2.0,2.0,,4.0,7.0,,,2.0,,1.0,71.0
8,"Ellis, Xavier",12,6,11,23,1,,,5.0,4.0,3.0,1.0,1.0,1.0,,,3.0,18.0,,,2.0,,,73.0
23,"Franklin, Lance",12,5,12,24,5,4.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,3.0,2.0,11.0,14.0,,4.0,1.0,,1.0,100.0
27,"Gilham, Stephen",4,4,10,14,,,,1.0,1.0,,,2.0,1.0,,,3.0,11.0,,,3.0,1.0,,93.0
18,"Guerra, Brent",13,9,11,24,,,,3.0,,4.0,2.0,1.0,,,1.0,8.0,16.0,1.0,,5.0,2.0,,81.0
15,"Hodge, Luke",18,5,16,34,3,1.0,,6.0,3.0,7.0,5.0,3.0,,2.0,3.0,11.0,24.0,,1.0,3.0,,1.0,81.0
32,"Kennedy, Josh",2,1,17,19,,,,5.0,,3.0,6.0,3.0,1.0,1.0,,12.0,8.0,,,,,3.0,67.0
3,"Lewis, Jordan",9,6,20,29,1,,2.0,2.0,1.0,3.0,5.0,1.0,2.0,,,10.0,19.0,,,1.0,1.0,1.0,84.0
21,"McGlynn, Ben",10,6,8,18,1,,,3.0,2.0,2.0,1.0,2.0,1.0,1.0,,3.0,14.0,,1.0,,,,87.0
5,"Mitchell, Sam",16,4,9,25,3,,,,4.0,5.0,2.0,1.0,1.0,,,6.0,18.0,,1.0,1.0,,,80.0
29,"Murphy, Tom",4,4,11,15,,,,5.0,1.0,,,1.0,,1.0,,1.0,12.0,,,3.0,,,92.0
7,"Osborne, Michael",5,4,10,15,,,,,1.0,1.0,,3.0,,2.0,,3.0,12.0,,,1.0,1.0,1.0,82.0
34,"Renouf, Brent",1,2,10,11,,,17.0,4.0,,1.0,3.0,1.0,2.0,1.0,,5.0,6.0,,1.0,3.0,,,71.0
33,"Rioli, Cyril",6,4,8,14,1,,,3.0,,4.0,1.0,2.0,,1.0,,4.0,10.0,,,,,,84.0
2,"Roughead, Jarryd",9,5,6,15,2,4.0,2.0,3.0,,2.0,,2.0,1.0,2.0,,9.0,5.0,3.0,3.0,,,1.0,100.0
25,"Schoenmakers, Ryan",10,5,7,17,,,,2.0,3.0,1.0,,2.0,,,,4.0,14.0,1.0,,,3.0,,82.0
12,"Sewell, Brad",9,4,16,25,,,,4.0,1.0,2.0,3.0,,,,,7.0,17.0,,,1.0,,2.0,86.0
26,"Shiels, Liam",3,3,10,13,,,,2.0,1.0,3.0,3.0,,,,,4.0,9.0,,,2.0,1.0,1.0,63.0
13,"Taylor, Simon",4,1,7,11,,,28.0,6.0,,2.0,2.0,4.0,2.0,4.0,,5.0,5.0,,,3.0,,,60.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,185,93,232,417,18,13.0,50.0,61.0,33.0,53.0,42.0,42.0,17.0,21.0,6.0,127.0,285.0,7.0,11.0,36.0,10.0,14.0,
Opposition,Opposition,198,88,178,376,11,10.0,30.0,92.0,35.0,47.0,34.0,41.0,21.0,17.0,,127.0,245.0,9.0,11.0,44.0,17.0,9.0,
