Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
14,"Birchall, Grant",28y 128d,227 (154-1-72 68.06%),32 (0.14),←,
22,"Breust, Luke",25y 206d,127 (101-0-26 79.53%),249 (1.96),←,
9,"Burgoyne, Shaun",33y 227d,306 (211-1-94 69.12%),246 (0.80),149 (114-1-34 76.85%),75 (0.50)
18,"Ceglar, Jonathon",25y 111d,41 (32-0-9 78.05%),20 (0.49),←,
8,"Duryea, Taylor",25y 41d,74 (58-0-16 78.38%),12 (0.16),←,
12,"Frawley, James",27y 258d,167 (54-1-112 32.63%),24 (0.14),28 (20-0-8 71.43%),6 (0.21)
6,"Gibson, Josh",32y 83d,200 (130-2-68 65.50%),4 (0.02),135 (101-1-33 75.19%),2 (0.01)
19,"Gunston, Jack",24y 232d,114 (83-0-31 72.81%),248 (2.18),100 (78-0-22 78.00%),228 (2.28)
4,"Hartung, Billy",21y 132d,37 (28-0-9 75.68%),16 (0.43),←,
10,"Hill, Bradley",22y 331d,82 (65-0-17 79.27%),52 (0.63),←,
41,"Howe, Daniel",20y 183d,10 (9-0-1 90.00%),1 (0.10),←,
3,"Lewis, Jordan",30y 41d,251 (160-1-90 63.94%),138 (0.55),←,
7,"McEvoy, Ben",26y 329d,134 (81-2-51 61.19%),54 (0.40),43 (30-0-13 69.77%),27 (0.63)
5,"Mitchell, Sam",33y 236d,295 (181-1-113 61.53%),67 (0.23),←,
23,"OBrien, Tim",22y 68d,12 (9-0-3 75.00%),10 (0.83),←,
28,"Puopolo, Paul",28y 185d,122 (96-0-26 78.69%),118 (0.97),←,
33,"Rioli, Cyril",26y 326d,167 (116-1-50 69.76%),242 (1.45),←,
26,"Shiels, Liam",25y 36d,133 (100-0-33 75.19%),44 (0.33),←,
21,"Sicily, James",21y 150d,14 (10-0-4 71.43%),18 (1.29),←,
16,"Smith, Isaac",27y 157d,122 (97-0-25 79.51%),107 (0.88),←,
40,"Stewart, Kade",19y 140d,1 (1-0-0 100.00%),1 (1.00),←,
24,"Stratton, Ben",27y 95d,128 (92-1-35 72.27%),1 (0.01),←,
Totals,Totals,26y 68d,2764 (1868-11-885 67.58%),1704 (0.62),,
C,"Clarkson, Alastair",48y 38d,270 (171-1-98 63.52%),,←,
