North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Bergman, Miller",8,5,10,18,,,,2.0,2.0,1.0,,1.0,1.0,,,5.0,13.0,,,,1.0,,73.0
21,"Coleman-Jones, Callum",8,6,3,11,2,1.0,4.0,1.0,,1.0,2.0,4.0,,1.0,,8.0,3.0,3.0,3.0,2.0,,,78.0
40,"Ford, Eddie",7,6,2,9,,,,,,1.0,,1.0,,1.0,,3.0,7.0,1.0,1.0,1.0,,1.0,80.0
22,"Goldstein, Todd",6,2,5,11,1,,32.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,,9.0,2.0,1.0,,4.0,,1.0,86.0
18,"Greenwood, Hugh",2,2,8,10,,,,6.0,,,2.0,1.0,,1.0,,5.0,5.0,,,1.0,,,41.0
43,"Hall, Aaron",21,4,6,27,,,,2.0,3.0,5.0,,4.0,1.0,,,6.0,17.0,,,,,,83.0
20,"Larkey, Nick",9,7,3,12,2,3.0,,1.0,,4.0,,2.0,,1.0,,6.0,6.0,4.0,4.0,3.0,2.0,1.0,97.0
19,"Logue, Griffin",4,4,9,13,,,,1.0,6.0,,,3.0,1.0,,,6.0,8.0,1.0,,9.0,,,100.0
11,"McDonald, Luke",11,5,7,18,1,,,6.0,4.0,2.0,1.0,,1.0,,,5.0,13.0,,,3.0,,,88.0
23,"McKay, Ben",11,10,7,18,,,,,3.0,,,1.0,1.0,1.0,,8.0,10.0,2.0,,4.0,,,96.0
29,"Phillips, Will",9,,18,27,1,,,6.0,2.0,5.0,8.0,1.0,,1.0,,14.0,13.0,,,1.0,,2.0,75.0
24 ↑,"Powell, Tom",1,1,7,8,,,,1.0,1.0,,,2.0,,1.0,,2.0,6.0,,,,1.0,,63.0
8,"Scott, Bailey",12,5,7,19,1,1.0,,2.0,,4.0,2.0,1.0,,,,6.0,13.0,,,1.0,,,91.0
3,"Sheezel, Harry",13,2,8,21,,1.0,,1.0,4.0,4.0,5.0,3.0,1.0,1.0,,8.0,10.0,,,1.0,,1.0,82.0
14,"Shiels, Liam",9,4,10,19,,,,5.0,2.0,3.0,3.0,,1.0,,,7.0,12.0,,,,,3.0,84.0
12 ↓,"Simpkin, Jy",1,,2,3,,,,,,1.0,,,,,,1.0,2.0,,,2.0,,,22.0
36,"Spicer, Phoenix",3,1,5,8,,,,9.0,,1.0,,2.0,1.0,,,3.0,5.0,,,1.0,3.0,1.0,74.0
2,"Stephenson, Jaidyn",10,5,2,12,1,1.0,,1.0,,4.0,,3.0,,2.0,,5.0,8.0,1.0,,1.0,,,86.0
26,"Thomas, Tarryn",12,2,5,17,1,,,6.0,2.0,5.0,2.0,2.0,3.0,1.0,,6.0,11.0,,,1.0,,1.0,79.0
13,"Tucker, Darcy",14,7,10,24,1,,,1.0,3.0,3.0,2.0,4.0,,1.0,,6.0,19.0,,,1.0,,,82.0
6,"Wardlaw, George",8,,9,17,,,,6.0,2.0,,7.0,5.0,2.0,2.0,1.0,12.0,7.0,,,,,,70.0
7,"Ziebell, Jack",16,7,2,18,,,,,7.0,2.0,,4.0,,,,4.0,12.0,,,5.0,,,83.0
44,"Zurhaar, Cameron",10,2,2,12,4,1.0,,2.0,,2.0,,2.0,2.0,1.0,2.0,5.0,6.0,,,,,,88.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,205,87,147,352,15,9.0,36.0,61.0,42.0,50.0,40.0,48.0,16.0,16.0,3.0,140.0,208.0,13.0,8.0,41.0,7.0,11.0,
Opposition,Opposition,229,118,136,365,16,9.0,49.0,62.0,34.0,59.0,38.0,51.0,16.0,16.0,3.0,129.0,229.0,14.0,19.0,40.0,4.0,13.0,
