Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",22y 133d,52 (22-1-29 43.27%),29 (0.56),←,
35,"Baxter, Darren",26y 47d,88 (40-2-46 46.59%),12 (0.14),←,
18,"Cameron, Leon",18y 245d,25 (14-0-11 56.00%),10 (0.40),←,
1,"Charles, Justin",20y 219d,15 (8-0-7 53.33%),4 (0.27),←,
20,"Coleman, Glenn",30y 91d,151 (82-1-68 54.64%),84 (0.56),26 (14-0-12 53.85%),20 (0.77)
22,"Cullen, Mark",22y 224d,29 (12-0-17 41.38%),19 (0.66),←,
26,"Del-Re, Danny",23y 82d,20 (10-0-10 50.00%),31 (1.55),←,
12,"Eppelstun, Greg",24y 170d,85 (43-1-41 51.18%),1 (0.01),←,
45,"Ford, Michael",28y 206d,86 (43-1-42 50.58%),18 (0.21),←,
32,"Foster, Peter",30y 337d,134 (71-2-61 53.73%),51 (0.38),127 (68-2-57 54.33%),49 (0.39)
9,"Georgiades, John",25y 122d,14 (6-0-8 42.86%),26 (1.86),←,
19,"Gow, Paul",21y 343d,1 (1-0-0 100.00%),,←,
7,"Hawkins, Doug",31y,249 (100-3-146 40.76%),144 (0.58),←,
10,"Hunter, Mark",25y 244d,45 (19-1-25 43.33%),2 (0.04),←,
4,"Kellett, Nigel",21y 138d,10 (4-0-6 40.00%),2 (0.20),←,
31,"Krakouer, Phil",31y 110d,144 (81-3-60 57.29%),228 (1.58),3 (2-0-1 66.67%),4 (1.33)
39,"Liberatore, Tony",25y 83d,43 (25-0-18 58.14%),26 (0.60),←,
33,"Royal, Brian",29y 144d,164 (86-2-76 53.05%),216 (1.32),←,
24,"Wallis, Stephen",26y 190d,173 (88-2-83 51.45%),40 (0.23),←,
15,"Wynd, Scott",21y 100d,41 (18-0-23 43.90%),6 (0.15),←,
Totals,Totals,25y 125d,1569 (773-19-777 49.27%),949 (0.60),,
C,"Wheeler, Terry",36y 53d,28 (15-0-13 53.57%),,←,
