Notes,Previous,Current
Fremantle's lowest score conceded,"75 v Geelong - R4,1995","19 v Sydney - R13,2020"
Fremantle's biggest win,"58 v Sydney - R6,1995","113 v Greater Western Sydney - R20,2013"
