Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",24y 215d,69 (39-0-30 56.52%),108 (1.57),31 (21-0-10 67.74%),53 (1.71)
33,"Allison, Brett",30y 341d,211 (116-1-94 55.21%),267 (1.27),←,
11,"Archer, Glenn",26y 39d,143 (91-0-52 63.64%),93 (0.65),←,
26,"Bell, Peter",23y 62d,81 (52-0-29 64.20%),75 (0.93),79 (52-0-27 65.82%),73 (0.92)
12,"Blakey, John",32y 282d,280 (144-0-136 51.43%),91 (0.32),145 (92-0-53 63.45%),53 (0.37)
16,"Capuano, Mathew",23y 242d,52 (38-0-14 73.08%),15 (0.29),←,
23,"Clayton, Shane",20y 190d,24 (5-0-19 20.83%),5 (0.21),6 (3-0-3 50.00%),4 (0.67)
3,"Dhurrkay, Gary",25y 59d,57 (23-0-34 40.35%),52 (0.91),6 (3-0-3 50.00%),6 (1.00)
6,"Grant, Shannon",22y 13d,89 (53-1-35 60.11%),88 (0.99),31 (21-0-10 67.74%),50 (1.61)
29,"Harvey, Brent",20y 353d,47 (31-0-16 65.96%),47 (1.00),←,
21,"Hewitt, Evan",20y 299d,24 (15-0-9 62.50%),14 (0.58),←,
34,"King, David",27y 56d,113 (73-0-40 64.60%),35 (0.31),←,
27,"Lange, Adam",20y 110d,3 (2-0-1 66.67%),2 (0.67),←,
4,"Martyn, Mick",30y 244d,227 (131-1-95 57.93%),14 (0.06),←,
5,"McCartney, Jason",25y 49d,103 (52-0-51 50.49%),49 (0.48),28 (18-0-10 64.29%),1 (0.04)
31,"McKernan, Corey",25y 134d,120 (81-0-39 67.50%),131 (1.09),←,
28,"Pickett, Byron",21y 264d,32 (21-0-11 65.63%),,←,
13,"Pike, Martin",26y 169d,109 (45-0-64 41.28%),53 (0.49),49 (33-0-16 67.35%),13 (0.27)
39,"Rawlings, Brady",17y 326d,4 (3-0-1 75.00%),1 (0.25),←,
8,"Scott, Robert",30y 62d,234 (142-1-91 60.90%),215 (0.92),102 (67-0-35 65.69%),51 (0.50)
7,"Simpson, Adam",23y 75d,71 (50-0-21 70.42%),35 (0.49),←,
10,"Stevens, Anthony",27y 304d,187 (113-0-74 60.43%),86 (0.46),←,
Totals,Totals,24y 310d,2280 (1320-4-956 57.89%),1476 (0.65),,
C,"Pagan, Denis",51y 220d,151 (97-0-54 64.24%),,←,
