Notes,Previous,Current
Fremantle's highest score conceded,"151 v West Coast - R7,1995","181 v Brisbane Lions - R20,1999"
Fremantle's biggest loss,"96 v Adelaide - R7,1996","133 v Geelong - R22,2018"
