Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
13,"Blumfield, Justin",26y 222d,143 (90-1-52 63.29%),90 (0.63),14 (4-0-10 28.57%),4 (0.29)
11,"Bowden, Joel",26y 12d,162 (74-0-88 45.68%),139 (0.86),←,
7,"Brown, Nathan",26y 144d,151 (68-3-80 46.03%),228 (1.51),14 (4-0-10 28.57%),22 (1.57)
17,"Campbell, Wayne",31y 284d,269 (121-1-147 45.17%),159 (0.59),←,
6,"Chaffey, Mark",27y 58d,136 (58-0-78 42.65%),30 (0.22),←,
19,"Fleming, Tim",26y 89d,26 (8-0-18 30.77%),6 (0.23),←,
2,"Gaspar, Darren",28y 44d,190 (85-0-105 44.74%),21 (0.11),169 (78-0-91 46.15%),20 (0.12)
20,"Hall, Ray",23y 250d,61 (26-0-35 42.62%),24 (0.39),←,
1,"Hilton, Rory",25y 79d,80 (37-0-43 46.25%),48 (0.60),71 (34-0-37 47.89%),45 (0.63)
31,"Hyde, Chris",21y 329d,22 (4-0-18 18.18%),3 (0.14),←,
28,"Johnson, Kane",26y 110d,138 (66-0-72 47.83%),57 (0.41),34 (11-0-23 32.35%),13 (0.38)
27,"Krakouer, Andrew",21y 150d,48 (14-0-34 29.17%),49 (1.02),←,
40,"Moore, Kelvin",20y 100d,3 (0-0-3 0.00%),1 (0.33),←,
35,"Newman, Chris",22y 46d,49 (14-0-35 28.57%),7 (0.14),←,
5,"Ottens, Brad",24y 160d,125 (53-0-72 42.40%),147 (1.18),←,
8,"Pettifer, Kayne",22y 163d,33 (14-0-19 42.42%),20 (0.61),←,
18,"Rodan, David",20y 269d,53 (17-0-36 32.08%),38 (0.72),←,
25,"Schulz, Jay",19y 76d,16 (6-0-10 37.50%),11 (0.69),←,
10,"Stafford, Greg",29y 311d,176 (77-1-98 44.03%),110 (0.63),46 (15-0-31 32.61%),52 (1.13)
32,"Tivendale, Greg",25y 75d,117 (49-0-68 41.88%),91 (0.78),←,
21,"Tuck, Shane",22y 192d,1 (0-0-1 0.00%),,←,
36,"Zantuck, Ty",22y 139d,61 (19-0-42 31.15%),16 (0.26),←,
Totals,Totals,24y 200d,2060 (900-6-1154 43.69%),1295 (0.63),,
C,"Frawley, Danny",40y 299d,105 (45-0-60 42.86%),,←,
