West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
26,"Ball, Jason",23y 137d,42 (27-0-15 64.29%),64 (1.52),←,
6,"Banfield, Drew",22y 39d,56 (37-0-19 66.07%),16 (0.29),←,
32,"Blurton, Ashley",21y 32d,5 (3-0-2 60.00%),2 (0.40),←,
29,"Donnelly, Andrew",23y 8d,2 (1-0-1 50.00%),2 (1.00),←,
22,"Downsborough, Ian",24y 78d,2 (0-0-2 0.00%),,←,
18,"Evans, Tony",26y 297d,69 (47-0-22 68.12%),54 (0.78),←,
23,"Fewster, Brendon",22y 93d,2 (1-0-1 50.00%),,←,
7,"Gehrig, Fraser",20y 34d,18 (10-0-8 55.56%),23 (1.28),←,
36,"Hart, David",32y 34d,157 (98-1-58 62.74%),88 (0.56),←,
27,"Jakovich, Glen",23y 13d,113 (75-1-37 66.81%),21 (0.19),←,
2,"Kemp, Dean",27y 49d,135 (92-2-41 68.89%),75 (0.56),←,
28,"Lewis, Chris",27y 20d,175 (110-2-63 63.43%),216 (1.23),←,
5,"Lovell, Andy",25y 253d,123 (60-1-62 49.19%),148 (1.20),2 (1-0-1 50.00%),2 (1.00)
9,"Lyle, Brayden",23y 31d,17 (9-0-8 52.94%),4 (0.24),←,
3,"Mainwaring, Chris",30y 101d,172 (108-2-62 63.37%),71 (0.41),←,
30,"Matera, Peter",27y 3d,120 (84-1-35 70.42%),141 (1.17),←,
11,"McIntosh, Ashley",23y 169d,89 (64-0-25 71.91%),85 (0.96),←,
17,"McKenna, Guy",26y 331d,173 (111-1-61 64.45%),20 (0.12),←,
8,"Metropolis, Daniel",24y 20d,25 (14-0-11 56.00%),21 (0.84),←,
12,"White, Mitchell",23y 9d,75 (48-1-26 64.67%),10 (0.13),←,
24,"Worsfold, John",27y 194d,178 (114-2-62 64.61%),35 (0.20),←,
Totals,Totals,24y 336d,1748 (1113-14-621 63.67%),1096 (0.63),,
C,"Malthouse, Mick",42y 233d,285 (170-4-111 60.35%),,150 (103-2-45 69.33%),
